loan_id,customer_id,loan_amount,interest_rate,tenure_months,origination_date
LOAN000086,CUST000428,4682,20.09,12,2019-10-21 11:06:06.533804654
LOAN000087,CUST000268,13247,28.85,36,2023-11-22 07:30:20.425376415
LOAN000088,CUST000708,11497,9.07,6,2019-10-17 10:59:26.649661779
LOAN000089,CUST000536,6131,34.32,24,2021-06-09 02:47:25.516943455
LOAN000090,CUST000147,4343,33.93,24,2020-10-26 21:14:28.302079678
LOAN000091,CUST000117,13747,9.91,36,2022-03-13 12:28:13.921695709
LOAN000092,CUST000849,11596,13.98,24,2019-08-24 14:53:29.699412584
LOAN000093,CUST000366,9649,8.0,36,2021-02-24 18:11:13.713107109
LOAN000094,CUST000849,15246,13.15,6,2020-05-16 14:40:24.087864876
LOAN000095,CUST000065,19197,29.48,24,2023-06-10 00:49:22.141963482
LOAN000096,CUST000969,4285,16.35,6,2019-03-16 02:37:41.694927216
LOAN000097,CUST000812,12586,7.65,12,2023-07-27 11:11:37.310420752
LOAN000098,CUST000369,7428,15.27,24,2023-03-02 01:08:06.460608006
LOAN000099,CUST000174,19676,34.44,12,2020-06-27 08:44:20.678288221
LOAN000100,CUST000830,16784,23.89,24,2022-12-12 05:52:25.142050028
LOAN000101,CUST000587,17207,17.48,6,2019-02-26 23:54:11.045826912
LOAN000102,CUST000494,3110,10.0,36,2023-11-01 11:54:57.153807640
LOAN000103,CUST000972,5655,34.59,6,2021-08-19 13:29:48.350597858
LOAN000104,CUST000113,167,29.63,6,2020-07-07 18:59:15.670651436
LOAN000105,CUST000110,12285,13.44,6,2020-10-24 01:50:48.151496887
LOAN000106,CUST000760,18990,7.1,24,2019-05-02 06:08:53.556190252
LOAN000107,CUST000438,1637,6.7,36,2023-12-12 13:15:11.172162056
LOAN000108,CUST000714,16881,8.61,12,2019-03-13 17:55:48.735422134
LOAN000109,CUST000146,11649,22.42,6,2022-04-10 20:38:59.153394461
LOAN000110,CUST000034,5780,32.86,24,2021-03-19 10:27:33.464908123
LOAN000111,CUST000998,8847,19.9,12,2023-09-29 17:18:15.645248175
LOAN000112,CUST000308,15216,30.29,6,2020-03-25 04:41:33.429137945
LOAN000113,CUST000537,3041,18.38,12,2021-08-29 14:10:22.700133801
LOAN000114,CUST000749,10949,26.26,6,2021-05-30 18:46:42.545750141
LOAN000115,CUST000013,7167,26.96,12,2022-07-07 10:25:08.558585882
LOAN000116,CUST000373,10251,10.22,12,2019-05-05 04:28:49.458298445
LOAN000117,CUST000556,18085,15.84,36,2019-12-20 20:36:53.402916670
LOAN000118,CUST000427,17964,24.12,36,2020-01-27 19:05:19.232696533
LOAN000119,CUST000727,19760,7.12,6,2022-09-09 20:43:07.248656034
LOAN000120,CUST000232,15226,15.85,24,2019-12-12 08:48:51.220163107
LOAN000121,CUST000704,15713,21.04,36,2021-11-13 04:42:11.018729448
LOAN000122,CUST000562,6547,34.89,12,2020-01-29 00:50:42.682681561
LOAN000123,CUST000938,5599,19.24,36,2023-04-23 07:51:06.524929047
LOAN000124,CUST000886,6373,29.48,36,2023-09-17 10:20:07.287194014
LOAN000125,CUST000725,1399,17.96,6,2021-08-04 18:26:10.081927538
LOAN000126,CUST000662,6801,28.89,36,2020-10-05 07:35:04.349699020
LOAN000127,CUST000439,5094,22.86,36,2020-03-03 09:20:52.556520700
LOAN000128,CUST000501,15727,31.6,12,2019-04-01 21:36:09.398685217
LOAN000129,CUST000274,7589,17.33,36,2020-05-05 06:44:50.421404600
LOAN000130,CUST000849,8369,23.13,12,2022-04-09 15:13:43.753165007
LOAN000131,CUST000075,2931,23.9,36,2021-09-01 09:13:42.231701374
LOAN000132,CUST000438,11702,17.52,36,2023-09-20 19:39:53.925780058
LOAN000133,CUST000731,19205,9.33,24,2020-12-24 14:27:17.105170727
LOAN000134,CUST000859,11919,7.81,36,2022-06-20 23:52:01.611118317
LOAN000135,CUST000955,18016,5.5,12,2021-06-12 12:04:48.307259083
LOAN000136,CUST000698,2096,31.21,12,2021-07-24 23:08:24.311985493
LOAN000137,CUST000288,11719,12.09,6,2020-05-03 22:56:29.627558947
LOAN000138,CUST000914,16761,11.35,6,2021-04-10 17:45:46.239565611
LOAN000139,CUST000539,3189,27.08,24,2021-05-09 15:40:54.152705669
LOAN000140,CUST000890,623,14.6,12,2022-07-14 07:54:06.743251085
LOAN000141,CUST000691,12510,20.18,12,2023-09-14 14:36:26.367596149
LOAN000142,CUST000252,15832,9.88,12,2020-08-24 08:10:32.391815662
LOAN000143,CUST000125,19606,33.79,24,2019-03-19 01:23:36.006384611
LOAN000144,CUST000176,8267,30.55,12,2021-06-25 05:38:15.287784100
LOAN000145,CUST000036,5290,30.91,6,2021-09-21 04:28:24.312378645
LOAN000146,CUST000409,4675,17.2,24,2019-11-04 13:44:19.366098166
LOAN000147,CUST000610,7827,27.87,6,2022-10-20 14:36:03.259592533
LOAN000148,CUST000609,15478,9.32,6,2023-12-04 11:31:59.694023848
LOAN000149,CUST000126,1897,5.26,24,2023-09-23 23:37:52.313443661
LOAN000150,CUST000482,2231,5.6,36,2019-12-26 21:58:30.163467884
LOAN000151,CUST000167,15000,22.6,36,2023-05-18 09:55:07.051479340
LOAN000152,CUST000591,17299,18.66,6,2022-07-10 09:43:44.839580536
LOAN000153,CUST000293,11432,20.54,36,2021-04-08 17:22:18.524186610
LOAN000154,CUST000844,6766,5.22,12,2021-09-14 03:44:10.375032902
LOAN000155,CUST000637,16626,17.68,24,2023-04-01 08:52:41.046352386
LOAN000156,CUST000342,12579,26.54,6,2021-05-26 17:26:00.940963507
LOAN000157,CUST000309,1510,18.28,12,2020-11-12 11:26:23.077187061
LOAN000158,CUST000661,12765,26.97,36,2021-06-19 16:04:41.283734798
LOAN000159,CUST000527,634,11.99,12,2021-11-23 11:47:04.315315247
LOAN000160,CUST000539,3464,29.39,36,2019-12-12 06:08:20.757056475
LOAN000161,CUST000418,17516,22.65,6,2023-07-04 01:22:49.336394072
LOAN000162,CUST000443,3442,11.32,12,2022-05-16 01:34:07.843832493
LOAN000163,CUST000684,13565,12.1,24,2022-03-02 08:22:37.320233107
LOAN000164,CUST000557,4600,23.84,6,2019-07-01 16:19:21.418105125
LOAN000165,CUST000839,1272,29.9,12,2022-01-08 05:19:07.199312449
LOAN000166,CUST000235,8107,17.47,12,2019-08-09 20:58:48.222982883
LOAN000167,CUST000438,1741,12.75,36,2019-05-24 16:50:48.903947353
LOAN000168,CUST000213,16955,31.01,6,2021-08-20 20:52:21.686275959
LOAN000169,CUST000084,19424,25.08,6,2021-01-05 11:40:23.678592920
LOAN000170,CUST000793,8838,18.44,6,2021-12-11 04:01:16.605574846
LOAN000171,CUST000743,4826,19.64,6,2019-06-12 22:04:20.254585505
LOAN000172,CUST000084,11889,11.13,36,2021-02-25 23:24:06.286385775
LOAN000173,CUST000920,11117,23.8,24,2019-11-16 03:51:10.800500393
LOAN000174,CUST000488,463,15.76,6,2023-12-08 10:40:26.995938540
LOAN000175,CUST000064,10458,34.87,36,2021-10-21 15:50:48.875132799
LOAN000176,CUST000645,3409,19.41,24,2022-06-09 06:13:58.777941227
LOAN000177,CUST000662,17029,19.58,24,2020-08-17 05:07:50.637484550
LOAN000178,CUST000626,3340,21.98,36,2019-06-22 23:50:17.524643898
LOAN000179,CUST000063,6765,32.5,6,2023-11-17 22:33:52.886252642
LOAN000180,CUST000342,13021,29.02,24,2020-06-06 17:00:57.479877472
LOAN000181,CUST000938,2036,18.53,6,2021-02-12 20:58:11.665368080
LOAN000182,CUST000874,14068,26.56,6,2022-04-01 15:38:11.416897058
LOAN000183,CUST000918,11297,22.59,12,2019-02-15 02:20:03.745666027
LOAN000184,CUST000351,12098,19.77,6,2023-01-19 12:47:46.088842392
LOAN000185,CUST000157,982,10.77,12,2021-09-06 19:00:09.359331369
LOAN000186,CUST000588,7023,18.92,24,2020-05-23 00:35:24.021974564
LOAN000187,CUST000490,13808,12.37,36,2019-04-23 11:54:30.050845861
LOAN000188,CUST000657,5304,32.45,12,2019-10-24 17:19:50.015106916
LOAN000189,CUST000854,7388,15.06,36,2023-06-23 07:57:49.789414883
LOAN000190,CUST000462,3303,33.57,24,2022-06-06 16:19:32.123159409
LOAN000191,CUST000224,2344,20.99,6,2020-04-01 07:41:34.976454258
LOAN000192,CUST000916,118,23.95,24,2019-04-30 18:53:16.522623539
LOAN000193,CUST000312,17125,21.29,36,2022-06-15 01:31:31.620115042
LOAN000194,CUST000614,3183,8.88,24,2021-11-11 05:11:46.258120775
LOAN000195,CUST000918,8621,16.27,6,2021-01-08 15:39:49.103487730
LOAN000196,CUST000858,17349,7.97,24,2020-10-25 22:54:29.337499380
LOAN000197,CUST000812,873,23.69,6,2020-01-31 21:40:07.781942129
LOAN000198,CUST000939,4832,18.41,12,2022-05-07 17:02:37.343400717
LOAN000199,CUST000465,6895,28.34,36,2023-11-08 10:33:20.340138912
LOAN000200,CUST000087,7084,11.61,6,2019-11-17 20:32:41.760791063
LOAN000201,CUST000882,2667,9.94,6,2021-12-26 08:02:19.520013809
LOAN000202,CUST000302,16221,17.19,24,2021-02-13 13:29:09.178842068
LOAN000203,CUST000679,1774,32.8,12,2021-03-26 15:41:11.550257444
LOAN000204,CUST000434,10975,26.31,6,2020-04-09 01:45:01.455556870
LOAN000205,CUST000681,11672,17.57,12,2023-02-15 16:42:38.847549677
LOAN000206,CUST000134,839,20.52,12,2021-06-05 01:50:29.746135235
LOAN000207,CUST000049,1645,7.53,24,2021-09-19 06:13:05.040252209
LOAN000208,CUST000431,9427,34.54,6,2020-07-10 11:50:32.072747946
LOAN000209,CUST000339,5227,24.99,24,2019-11-28 23:34:27.117798328
LOAN000210,CUST000346,9165,13.56,36,2019-06-06 20:56:12.669361353
LOAN000211,CUST000645,10592,22.57,36,2022-07-27 23:33:26.034816742
LOAN000212,CUST000346,13849,8.28,6,2019-12-25 07:46:16.178478956
LOAN000213,CUST000648,9145,33.98,12,2022-06-14 01:51:44.359091520
LOAN000214,CUST000244,18767,10.24,6,2020-12-13 19:51:26.537622213
LOAN000215,CUST000108,9621,24.44,6,2021-01-29 04:54:53.562853813
LOAN000216,CUST000824,8769,12.36,36,2021-05-06 17:14:04.519570589
LOAN000217,CUST000798,11383,26.53,36,2020-11-02 10:27:27.576653242
LOAN000218,CUST000532,7098,28.3,12,2019-07-03 17:34:11.574490070
LOAN000219,CUST000089,13540,25.2,12,2020-07-19 09:18:15.989633083
LOAN000220,CUST000295,12797,23.43,6,2022-04-26 23:29:40.642984152
LOAN000221,CUST000111,13833,31.77,24,2022-04-30 17:20:08.195898533
LOAN000222,CUST000812,1369,7.36,6,2020-06-06 15:29:38.545747757
LOAN000223,CUST000588,7968,14.93,12,2021-04-20 03:32:15.022550821
LOAN000224,CUST000176,12473,12.45,24,2019-12-20 05:37:52.753422499
LOAN000225,CUST000342,19087,34.64,36,2020-01-20 03:20:45.963468790
LOAN000226,CUST000659,6061,16.68,12,2019-02-12 02:00:56.168392181
LOAN000227,CUST000100,15834,26.98,12,2023-06-26 11:01:14.891365290
LOAN000228,CUST000757,9761,25.54,24,2020-01-20 18:00:32.004873753
LOAN000229,CUST000628,8669,11.36,12,2020-02-20 11:26:40.642308950
LOAN000230,CUST000603,7657,12.17,12,2020-05-25 13:15:11.463264942
LOAN000231,CUST000400,18164,13.44,12,2019-08-21 15:31:52.802329779
LOAN000232,CUST000027,8533,17.33,12,2022-03-13 07:03:23.733144283
LOAN000233,CUST000936,15753,12.03,12,2019-05-18 05:03:53.208196402
LOAN000234,CUST000961,9211,5.59,12,2019-09-03 01:17:13.672773600
LOAN000235,CUST000536,5782,31.38,12,2022-03-23 07:49:07.629903316
LOAN000236,CUST000057,15579,33.97,12,2020-09-12 05:17:13.315123558
LOAN000237,CUST000497,15147,15.25,36,2022-07-16 17:06:20.006470442
LOAN000238,CUST000296,8184,15.16,12,2021-10-14 20:34:55.237527370
LOAN000239,CUST000133,16553,5.21,36,2020-04-12 11:52:18.797691822
LOAN000240,CUST000330,6300,25.41,36,2022-04-03 09:53:02.768079519
LOAN000241,CUST000248,10378,29.76,6,2019-08-01 07:34:39.954558611
LOAN000242,CUST000549,2107,9.4,6,2021-09-06 11:38:55.061157227
LOAN000243,CUST000901,15902,9.79,36,2021-03-09 05:34:42.799777031
LOAN000244,CUST000940,13429,28.7,36,2020-05-04 03:17:30.816209555
LOAN000245,CUST000074,2879,23.49,12,2022-01-07 21:54:54.075369120
LOAN000246,CUST000653,855,6.35,6,2023-05-11 01:19:24.062593937
LOAN000247,CUST000833,6595,23.68,24,2023-12-29 23:59:58.424701452
LOAN000248,CUST000167,10287,14.27,6,2022-01-14 18:35:44.078682661
LOAN000249,CUST000770,9613,16.06,36,2021-01-08 23:49:48.851765633
LOAN000250,CUST000502,18814,28.09,36,2020-02-16 05:28:33.455549240
LOAN000251,CUST000884,17500,29.33,12,2020-04-14 10:58:44.477944851
LOAN000252,CUST000354,7447,17.01,12,2021-05-25 11:38:05.864767075
LOAN000253,CUST000224,14349,33.41,6,2020-11-01 15:34:40.731332779
LOAN000254,CUST000663,14979,17.19,12,2023-07-27 15:00:27.502255917
LOAN000255,CUST000530,14157,28.16,24,2020-11-03 12:10:50.068357706
LOAN000256,CUST000145,12157,19.52,24,2020-11-12 21:50:08.744487286
LOAN000257,CUST000959,5038,31.93,12,2020-12-01 08:00:59.302463770
LOAN000258,CUST000240,19322,32.23,24,2023-03-08 16:02:38.756947994
LOAN000259,CUST000883,837,7.62,24,2022-04-03 08:08:50.542060614
LOAN000260,CUST000892,6300,33.09,6,2022-01-26 11:20:08.506950617
LOAN000261,CUST000343,8471,29.77,24,2020-09-02 03:29:01.726621389
LOAN000262,CUST000748,16715,28.74,36,2023-02-02 11:49:57.523817301
LOAN000263,CUST000034,18401,11.03,36,2019-03-12 01:15:28.296188116
LOAN000264,CUST000701,8634,29.15,6,2023-05-10 01:48:55.009963751
LOAN000265,CUST000000,2723,30.5,12,2021-07-25 06:45:05.790848970
LOAN000266,CUST000995,8746,13.67,6,2020-12-28 04:55:05.853555202
LOAN000267,CUST000152,13643,33.57,12,2021-06-26 19:51:32.076618671
LOAN000268,CUST000428,12917,6.5,12,2022-05-03 16:49:05.556412697
LOAN000269,CUST000944,18760,9.5,12,2019-01-24 07:25:55.386193275
LOAN000270,CUST000507,4597,21.13,12,2023-05-11 10:53:18.806734562
LOAN000271,CUST000125,8033,22.27,12,2021-03-26 17:54:46.646087408
LOAN000272,CUST000490,18619,24.35,6,2020-09-18 06:09:53.133610487
LOAN000273,CUST000481,6827,5.51,12,2019-09-10 10:28:25.206048965
LOAN000274,CUST000344,12256,33.81,24,2021-03-13 11:07:50.037183762
LOAN000275,CUST000911,18049,6.34,24,2021-06-25 06:50:56.863559723
LOAN000276,CUST000737,16792,9.29,12,2021-01-07 01:24:45.862135887
LOAN000277,CUST000220,8727,5.42,24,2022-05-24 05:35:59.826731682
LOAN000278,CUST000914,8468,22.01,36,2021-02-07 13:22:10.114839554
LOAN000279,CUST000918,16622,32.97,6,2023-10-22 13:09:50.153573513
LOAN000280,CUST000722,16677,24.98,6,2021-12-30 06:44:16.587963820
LOAN000281,CUST000024,19741,29.68,12,2023-01-14 10:54:46.987233400
LOAN000282,CUST000527,15677,5.4,12,2019-07-19 16:24:47.152331352
LOAN000283,CUST000181,19719,21.26,36,2020-12-26 10:53:37.039420843
LOAN000284,CUST000498,13572,18.79,12,2020-09-07 02:00:49.205592155
LOAN000285,CUST000840,1042,19.97,24,2021-11-05 20:59:46.239712715
LOAN000286,CUST000640,4720,7.17,36,2023-04-22 09:26:20.051418781
LOAN000287,CUST000041,16295,25.53,24,2019-05-24 01:05:38.598727942
LOAN000288,CUST000914,11254,20.1,6,2019-05-13 12:31:04.618241072
LOAN000289,CUST000480,6453,27.95,24,2023-04-02 16:19:23.672275066
LOAN000290,CUST000929,9245,19.56,6,2020-01-24 15:56:31.813961983
LOAN000291,CUST000847,9594,9.48,24,2022-05-06 03:26:33.442831039
LOAN000292,CUST000747,13662,24.45,6,2021-09-18 07:05:28.581287622
LOAN000293,CUST000871,19865,10.17,12,2023-03-01 20:43:44.048416615
LOAN000294,CUST000438,2980,31.17,24,2019-08-17 09:53:46.984813929
LOAN000295,CUST000401,645,23.39,6,2019-08-25 23:36:31.283379793
LOAN000296,CUST000545,14232,9.72,24,2021-10-13 18:00:28.155011654
LOAN000297,CUST000344,13404,33.87,36,2023-09-25 02:05:53.177198172
LOAN000298,CUST000892,2027,20.55,12,2021-01-27 18:51:42.346223831
LOAN000299,CUST000044,16488,7.19,6,2020-08-19 23:54:38.165622234
LOAN000300,CUST000645,11773,23.8,36,2022-01-12 19:33:10.439366817
LOAN000301,CUST000020,15472,12.6,24,2023-08-26 23:58:46.093027592
LOAN000302,CUST000633,2763,29.11,36,2023-03-09 05:31:31.247698069
LOAN000303,CUST000069,15133,29.53,24,2023-12-23 18:04:25.524381399
LOAN000304,CUST000863,9565,34.37,12,2019-02-11 05:02:44.124939442
LOAN000305,CUST000872,3426,20.06,36,2019-07-26 01:53:43.202011585
LOAN000306,CUST000047,3759,18.65,12,2022-01-17 21:18:54.942403793
LOAN000307,CUST000490,17615,27.6,6,2023-02-07 08:56:30.758519888
LOAN000308,CUST000550,4863,8.97,24,2020-06-04 20:32:53.006106138
LOAN000309,CUST000286,10928,21.41,24,2020-03-12 19:11:12.199241877
LOAN000310,CUST000009,14920,21.39,12,2022-12-08 00:25:38.755494356
LOAN000311,CUST000541,11321,7.68,12,2019-04-13 22:52:42.107750416
LOAN000312,CUST000755,11311,17.54,6,2020-11-05 11:49:30.531573057
LOAN000313,CUST000273,13669,30.6,36,2021-07-12 14:35:00.135190487
LOAN000314,CUST000955,5192,30.68,24,2021-10-20 04:43:13.097022772
LOAN000315,CUST000599,6122,7.98,24,2022-08-23 10:49:50.272631884
LOAN000316,CUST000755,12669,7.72,6,2020-10-09 22:45:32.341050625
LOAN000317,CUST000380,19643,12.88,6,2022-01-23 18:16:43.395671844
LOAN000318,CUST000328,13615,31.24,12,2021-12-04 21:29:33.102207184
LOAN000319,CUST000478,6259,8.87,12,2021-09-26 22:43:40.782179356
LOAN000320,CUST000014,13323,26.6,36,2022-03-15 12:32:23.419191599
LOAN000321,CUST000515,8545,8.03,6,2020-04-18 18:06:01.702394485
LOAN000322,CUST000190,11122,23.69,36,2019-06-04 13:38:49.117533922
LOAN000323,CUST000167,3144,15.68,6,2019-08-06 18:57:42.319690943
LOAN000324,CUST000520,9712,28.67,24,2020-02-15 02:05:54.014728308
LOAN000325,CUST000620,5736,12.01,6,2021-07-02 08:40:27.574862003
LOAN000326,CUST000136,11693,24.18,6,2023-03-15 15:33:47.159743547
LOAN000327,CUST000153,16279,12.07,24,2022-07-04 13:28:45.925252914
LOAN000328,CUST000387,2992,26.41,6,2022-12-11 18:54:55.578781843
LOAN000329,CUST000208,5912,31.21,36,2020-10-02 21:09:20.674573421
LOAN000330,CUST000271,754,8.8,12,2021-01-08 21:32:44.066421747
LOAN000331,CUST000142,17243,31.0,12,2020-12-19 20:42:53.897949457
LOAN000332,CUST000610,1898,22.81,36,2019-12-17 08:39:01.560034275
LOAN000333,CUST000888,5259,8.81,24,2019-04-22 18:45:31.775341988
LOAN000334,CUST000819,11718,17.83,6,2021-12-15 00:18:24.667417288
LOAN000335,CUST000068,8546,9.83,36,2023-12-12 07:25:54.963205576
LOAN000336,CUST000246,3923,26.01,12,2019-11-01 15:08:41.963065147
LOAN000337,CUST000260,16199,27.77,12,2019-03-27 05:54:55.970156670
LOAN000338,CUST000787,18360,8.17,36,2022-11-24 10:11:47.127307415
LOAN000339,CUST000078,7887,20.18,12,2020-04-06 05:19:44.965024948
LOAN000340,CUST000657,11296,29.44,36,2023-02-23 22:18:36.452832222
LOAN000341,CUST000622,6480,33.08,12,2022-07-09 09:19:13.786034107
LOAN000342,CUST000769,17492,20.41,36,2023-09-23 19:11:49.515772103
LOAN000343,CUST000604,9802,33.51,6,2021-01-16 16:49:37.847281456
LOAN000344,CUST000524,18992,21.07,6,2022-04-23 18:09:58.478704453
LOAN000345,CUST000771,2782,16.83,6,2021-04-28 19:47:45.291698694
LOAN000346,CUST000937,1089,30.45,6,2022-02-25 10:55:08.655058622
LOAN000347,CUST000620,12576,19.79,12,2021-03-31 23:13:20.844779015
LOAN000348,CUST000329,8546,19.16,24,2019-12-11 10:37:10.442239046
LOAN000349,CUST000188,4811,19.71,36,2021-07-16 10:05:46.892155886
LOAN000350,CUST000094,6579,30.4,24,2021-08-23 04:40:26.557660103
LOAN000351,CUST000616,13261,29.96,12,2023-01-20 03:54:10.966151953
LOAN000352,CUST000007,14735,17.11,12,2022-09-05 01:27:33.878512383
LOAN000353,CUST000066,8175,15.0,24,2022-04-27 02:00:14.859395504
LOAN000354,CUST000495,1107,19.76,24,2019-07-27 01:04:33.871785402
LOAN000355,CUST000190,7788,22.18,12,2022-08-08 20:17:17.959367990
LOAN000356,CUST000365,10863,12.15,12,2021-07-02 13:22:23.419488907
