loan_id,dpd_bucket,pd_estimate,lgd_estimate,npl_flag
LOAN000195,31-60,0.028,0.742,0
LOAN000196,0,0.133,0.366,0
LOAN000197,90+,0.015,0.453,0
LOAN000198,1-30,0.102,0.321,0
LOAN000199,61-90,0.117,0.433,0
LOAN000200,0,0.119,0.495,0
LOAN000201,0,0.294,0.377,0
LOAN000202,61-90,0.098,0.661,0
LOAN000203,0,0.087,0.436,0
LOAN000204,0,0.048,0.638,0
LOAN000205,0,0.158,0.324,0
LOAN000206,90+,0.055,0.426,0
LOAN000207,1-30,0.189,0.205,0
LOAN000208,0,0.055,0.655,0
LOAN000209,1-30,0.177,0.576,1
LOAN000210,0,0.25,0.691,0
LOAN000211,31-60,0.022,0.473,1
LOAN000212,0,0.132,0.68,0
LOAN000213,31-60,0.144,0.589,0
LOAN000214,0,0.239,0.202,0
LOAN000215,0,0.146,0.352,0
LOAN000216,0,0.175,0.496,0
LOAN000217,0,0.239,0.571,0
LOAN000218,1-30,0.172,0.239,0
LOAN000219,0,0.114,0.623,0
LOAN000220,0,0.035,0.526,0
LOAN000221,0,0.222,0.515,0
LOAN000222,0,0.263,0.375,0
LOAN000223,0,0.291,0.557,1
LOAN000224,0,0.279,0.216,0
LOAN000225,0,0.241,0.239,0
LOAN000226,0,0.197,0.64,0
LOAN000227,0,0.237,0.393,1
LOAN000228,90+,0.135,0.408,0
LOAN000229,1-30,0.182,0.325,0
LOAN000230,0,0.111,0.467,0
LOAN000231,1-30,0.105,0.231,1
LOAN000232,31-60,0.229,0.38,0
LOAN000233,0,0.142,0.516,0
LOAN000234,31-60,0.072,0.479,0
LOAN000235,0,0.069,0.8,0
LOAN000236,31-60,0.259,0.433,0
LOAN000237,0,0.207,0.432,0
LOAN000238,0,0.168,0.502,0
LOAN000239,0,0.126,0.314,0
LOAN000240,90+,0.135,0.726,0
LOAN000241,31-60,0.027,0.543,0
LOAN000242,0,0.142,0.315,0
LOAN000243,0,0.241,0.676,0
LOAN000244,0,0.123,0.221,0
LOAN000245,0,0.121,0.79,0
LOAN000246,0,0.015,0.719,0
LOAN000247,0,0.143,0.548,0
LOAN000248,61-90,0.017,0.267,1
LOAN000249,1-30,0.175,0.329,1
LOAN000250,0,0.157,0.368,0
LOAN000251,0,0.254,0.345,0
LOAN000252,90+,0.179,0.499,0
LOAN000253,1-30,0.104,0.767,0
LOAN000254,1-30,0.16,0.467,0
LOAN000255,90+,0.213,0.597,0
LOAN000256,31-60,0.037,0.613,0
LOAN000257,0,0.19,0.723,0
LOAN000258,0,0.276,0.22,0
LOAN000259,90+,0.097,0.443,0
LOAN000260,0,0.192,0.671,1
LOAN000261,0,0.248,0.689,0
LOAN000262,0,0.158,0.756,0
LOAN000263,1-30,0.218,0.622,0
LOAN000264,90+,0.1,0.347,0
LOAN000265,0,0.099,0.503,0
LOAN000266,0,0.204,0.219,0
LOAN000267,61-90,0.215,0.588,0
LOAN000268,0,0.282,0.533,0
LOAN000269,0,0.075,0.6,1
LOAN000270,90+,0.146,0.758,1
LOAN000271,0,0.083,0.612,0
LOAN000272,0,0.033,0.392,1
LOAN000273,1-30,0.127,0.319,0
LOAN000274,0,0.118,0.713,0
LOAN000275,90+,0.088,0.317,0
LOAN000276,0,0.096,0.297,0
LOAN000277,0,0.115,0.324,0
LOAN000278,0,0.297,0.505,0
LOAN000279,0,0.237,0.275,0
LOAN000280,31-60,0.031,0.763,0
LOAN000281,31-60,0.263,0.78,1
LOAN000282,90+,0.194,0.784,1
LOAN000283,0,0.268,0.223,0
LOAN000284,1-30,0.109,0.768,0
LOAN000285,0,0.145,0.798,0
LOAN000286,31-60,0.27,0.765,0
LOAN000287,1-30,0.089,0.603,0
LOAN000288,0,0.275,0.621,0
LOAN000289,0,0.25,0.273,0
LOAN000290,0,0.294,0.725,0
LOAN000291,0,0.104,0.236,0
LOAN000292,90+,0.078,0.391,0
LOAN000293,0,0.106,0.795,0
LOAN000294,0,0.287,0.453,0
LOAN000295,0,0.107,0.279,0
LOAN000296,31-60,0.174,0.782,0
LOAN000297,0,0.127,0.79,0
LOAN000298,0,0.125,0.312,0
LOAN000299,0,0.066,0.719,0
LOAN000300,1-30,0.166,0.434,0
LOAN000301,0,0.256,0.429,0
LOAN000302,1-30,0.024,0.358,0
LOAN000303,0,0.268,0.227,1
LOAN000304,0,0.203,0.361,0
LOAN000305,0,0.189,0.232,0
LOAN000306,0,0.192,0.755,0
LOAN000307,0,0.096,0.597,0
LOAN000308,0,0.13,0.732,0
LOAN000309,1-30,0.242,0.63,0
LOAN000310,0,0.099,0.279,0
LOAN000311,0,0.146,0.764,0
LOAN000312,61-90,0.016,0.74,0
LOAN000313,0,0.223,0.409,0
LOAN000314,1-30,0.131,0.267,1
LOAN000315,31-60,0.162,0.622,1
LOAN000316,0,0.043,0.637,0
LOAN000317,31-60,0.298,0.738,1
LOAN000318,0,0.098,0.232,0
LOAN000319,0,0.194,0.285,0
LOAN000320,0,0.179,0.559,0
LOAN000321,0,0.238,0.571,0
LOAN000322,0,0.095,0.22,0
LOAN000323,0,0.229,0.438,0
LOAN000324,0,0.121,0.55,0
LOAN000325,0,0.129,0.643,0
LOAN000326,0,0.205,0.39,0
LOAN000327,0,0.237,0.49,0
LOAN000328,0,0.203,0.688,0
LOAN000329,0,0.271,0.772,0
LOAN000330,0,0.093,0.338,0
LOAN000331,0,0.271,0.352,0
LOAN000332,61-90,0.048,0.764,0
LOAN000333,31-60,0.201,0.438,0
LOAN000334,0,0.169,0.631,0
LOAN000335,1-30,0.153,0.567,0
LOAN000336,0,0.1,0.371,0
LOAN000337,0,0.156,0.592,0
LOAN000338,61-90,0.057,0.593,0
LOAN000339,0,0.117,0.555,0
LOAN000340,90+,0.039,0.26,0
LOAN000341,0,0.176,0.797,0
LOAN000342,0,0.038,0.44,0
LOAN000343,0,0.056,0.583,0
LOAN000344,0,0.035,0.731,0
LOAN000345,0,0.121,0.454,0
LOAN000346,0,0.254,0.664,0
LOAN000347,1-30,0.273,0.783,1
LOAN000348,0,0.031,0.415,0
LOAN000349,0,0.194,0.443,0
LOAN000350,0,0.208,0.743,0
LOAN000351,61-90,0.165,0.296,0
LOAN000352,0,0.203,0.217,0
LOAN000353,0,0.078,0.745,0
LOAN000354,90+,0.152,0.693,0
LOAN000355,0,0.123,0.784,1
LOAN000356,0,0.036,0.235,0
LOAN000357,31-60,0.191,0.294,0
LOAN000358,31-60,0.154,0.263,0
LOAN000359,0,0.09,0.61,0
LOAN000360,0,0.147,0.564,0
LOAN000361,1-30,0.235,0.416,0
LOAN000362,0,0.242,0.234,0
LOAN000363,61-90,0.198,0.584,0
LOAN000364,0,0.146,0.542,0
LOAN000365,0,0.177,0.268,0
LOAN000366,0,0.122,0.745,0
LOAN000367,1-30,0.047,0.319,0
LOAN000368,61-90,0.122,0.646,0
LOAN000369,1-30,0.164,0.731,0
LOAN000370,90+,0.184,0.548,0
LOAN000371,0,0.281,0.348,1
LOAN000372,0,0.235,0.386,0
LOAN000373,31-60,0.054,0.731,0
LOAN000374,61-90,0.061,0.379,0
LOAN000375,31-60,0.039,0.648,0
LOAN000376,31-60,0.224,0.794,0
LOAN000377,0,0.215,0.8,0
LOAN000378,0,0.296,0.52,0
LOAN000379,61-90,0.161,0.696,0
LOAN000380,0,0.25,0.794,1
LOAN000381,0,0.177,0.425,0
LOAN000382,1-30,0.263,0.351,0
LOAN000383,0,0.219,0.269,0
LOAN000384,31-60,0.196,0.285,0
LOAN000385,0,0.174,0.712,0
LOAN000386,31-60,0.22,0.553,0
LOAN000387,1-30,0.132,0.724,0
LOAN000388,0,0.038,0.674,0
LOAN000389,0,0.022,0.604,0
LOAN000390,0,0.149,0.566,0
LOAN000391,0,0.184,0.229,0
LOAN000392,0,0.033,0.723,0
LOAN000393,0,0.093,0.451,0
LOAN000394,0,0.103,0.536,0
LOAN000395,0,0.173,0.213,0
LOAN000396,0,0.091,0.762,0
LOAN000397,1-30,0.038,0.742,0
LOAN000398,0,0.058,0.526,0
LOAN000399,61-90,0.06,0.546,0
LOAN000400,1-30,0.254,0.623,0
LOAN000401,31-60,0.092,0.359,0
LOAN000402,31-60,0.217,0.333,0
LOAN000403,0,0.175,0.604,0
LOAN000404,31-60,0.293,0.263,0
LOAN000405,0,0.089,0.472,0
LOAN000406,61-90,0.056,0.496,0
LOAN000407,61-90,0.025,0.429,0
LOAN000408,0,0.08,0.311,1
LOAN000409,0,0.208,0.413,0
LOAN000410,0,0.035,0.403,0
LOAN000411,1-30,0.081,0.5,0
LOAN000412,0,0.258,0.605,0
LOAN000413,0,0.179,0.781,0
LOAN000414,0,0.03,0.286,1
LOAN000415,0,0.024,0.724,0
LOAN000416,90+,0.028,0.371,0
LOAN000417,31-60,0.283,0.555,0
LOAN000418,0,0.256,0.528,0
LOAN000419,0,0.255,0.534,0
LOAN000420,0,0.278,0.634,0
LOAN000421,0,0.157,0.429,0
LOAN000422,31-60,0.082,0.391,0
LOAN000423,0,0.126,0.712,0
LOAN000424,0,0.218,0.332,0
LOAN000425,61-90,0.264,0.308,1
LOAN000426,61-90,0.136,0.209,0
LOAN000427,0,0.165,0.326,0
LOAN000428,0,0.28,0.511,0
LOAN000429,0,0.041,0.523,0
LOAN000430,1-30,0.26,0.353,0
LOAN000431,90+,0.056,0.243,1
LOAN000432,0,0.15,0.647,0
LOAN000433,0,0.073,0.655,0
LOAN000434,61-90,0.185,0.799,0
LOAN000435,1-30,0.172,0.74,0
LOAN000436,90+,0.12,0.756,0
LOAN000437,0,0.26,0.679,0
LOAN000438,0,0.201,0.569,0
LOAN000439,0,0.219,0.277,0
LOAN000440,0,0.054,0.573,0
LOAN000441,0,0.266,0.234,0
LOAN000442,0,0.058,0.731,0
LOAN000443,0,0.075,0.489,0
LOAN000444,61-90,0.047,0.618,0
LOAN000445,0,0.138,0.231,0
LOAN000446,1-30,0.267,0.521,0
LOAN000447,0,0.083,0.381,0
LOAN000448,31-60,0.118,0.371,1
LOAN000449,0,0.255,0.434,0
LOAN000450,31-60,0.189,0.2,0
LOAN000451,0,0.228,0.48,0
LOAN000452,0,0.072,0.492,0
LOAN000453,1-30,0.218,0.718,1
LOAN000454,0,0.076,0.469,0
LOAN000455,0,0.296,0.418,0
LOAN000456,61-90,0.172,0.797,0
LOAN000457,61-90,0.212,0.543,0
LOAN000458,0,0.044,0.484,0
LOAN000459,0,0.083,0.498,0
LOAN000460,0,0.051,0.686,0
LOAN000461,0,0.123,0.404,0
LOAN000462,90+,0.092,0.433,1
LOAN000463,0,0.223,0.654,0
LOAN000464,0,0.042,0.244,0
LOAN000465,90+,0.228,0.719,0
LOAN000466,0,0.023,0.458,0
LOAN000467,1-30,0.069,0.549,0
LOAN000468,0,0.24,0.654,0
LOAN000469,0,0.225,0.36,0
LOAN000470,0,0.148,0.734,0
LOAN000471,0,0.024,0.788,0
LOAN000472,0,0.187,0.497,0
LOAN000473,0,0.128,0.762,1
LOAN000474,0,0.102,0.201,0
LOAN000475,0,0.196,0.737,0
LOAN000476,0,0.137,0.387,0
LOAN000477,0,0.037,0.387,0
LOAN000478,0,0.276,0.337,1
LOAN000479,1-30,0.236,0.39,0
LOAN000480,0,0.026,0.328,0
LOAN000481,0,0.162,0.744,1
LOAN000482,31-60,0.034,0.739,0
LOAN000483,0,0.253,0.261,0
LOAN000484,31-60,0.188,0.286,1
LOAN000485,31-60,0.06,0.717,0
LOAN000486,0,0.016,0.439,0
LOAN000487,0,0.019,0.302,0
LOAN000488,90+,0.157,0.506,0
LOAN000489,0,0.223,0.45,0
LOAN000490,31-60,0.045,0.331,0
LOAN000491,0,0.074,0.632,0
LOAN000492,0,0.105,0.579,0
LOAN000493,0,0.073,0.26,0
LOAN000494,0,0.123,0.755,0
LOAN000495,0,0.172,0.535,1
LOAN000496,1-30,0.209,0.35,0
LOAN000497,61-90,0.289,0.324,0
LOAN000498,31-60,0.28,0.282,0
LOAN000499,0,0.175,0.455,0
LOAN000500,61-90,0.223,0.281,0
LOAN000501,31-60,0.286,0.449,0
LOAN000502,61-90,0.034,0.289,0
LOAN000503,0,0.012,0.594,0
LOAN000504,31-60,0.019,0.671,0
LOAN000505,0,0.173,0.53,0
LOAN000506,0,0.231,0.608,1
LOAN000507,90+,0.116,0.763,0
LOAN000508,0,0.168,0.583,0
LOAN000509,0,0.16,0.418,1
LOAN000510,61-90,0.037,0.47,1
LOAN000511,0,0.103,0.716,1
LOAN000512,61-90,0.016,0.278,0
LOAN000513,1-30,0.042,0.395,0
LOAN000514,0,0.245,0.546,0
LOAN000515,0,0.251,0.606,0
LOAN000516,31-60,0.243,0.658,0
LOAN000517,0,0.221,0.391,0
LOAN000518,90+,0.24,0.288,0
LOAN000519,61-90,0.205,0.773,0
LOAN000520,0,0.204,0.246,0
LOAN000521,0,0.204,0.257,0
LOAN000522,90+,0.159,0.497,0
LOAN000523,0,0.115,0.692,0
LOAN000524,0,0.222,0.665,0
LOAN000525,31-60,0.097,0.763,0
LOAN000526,61-90,0.167,0.285,0
LOAN000527,1-30,0.136,0.425,0
LOAN000528,0,0.09,0.369,1
LOAN000529,1-30,0.293,0.717,0
LOAN000530,1-30,0.085,0.493,0
LOAN000531,61-90,0.1,0.216,0
LOAN000532,90+,0.057,0.625,0
LOAN000533,0,0.249,0.433,0
LOAN000534,31-60,0.18,0.519,0
LOAN000535,90+,0.188,0.736,1
LOAN000536,0,0.248,0.354,0
LOAN000537,0,0.109,0.344,0
LOAN000538,61-90,0.066,0.358,1
LOAN000539,0,0.068,0.403,0
LOAN000540,0,0.222,0.264,0
LOAN000541,0,0.188,0.618,0
LOAN000542,0,0.07,0.324,1
LOAN000543,0,0.052,0.756,1
LOAN000544,0,0.045,0.329,1
LOAN000545,90+,0.192,0.353,0
LOAN000546,1-30,0.01,0.378,0
LOAN000547,1-30,0.015,0.661,0
LOAN000548,0,0.123,0.457,0
LOAN000549,1-30,0.21,0.692,1
LOAN000550,1-30,0.212,0.671,0
LOAN000551,1-30,0.135,0.758,0
LOAN000552,0,0.21,0.654,0
LOAN000553,0,0.161,0.231,0
LOAN000554,31-60,0.293,0.702,0
LOAN000555,1-30,0.057,0.763,0
LOAN000556,1-30,0.184,0.796,0
LOAN000557,0,0.152,0.275,0
LOAN000558,0,0.066,0.568,0
LOAN000559,31-60,0.227,0.32,0
LOAN000560,0,0.09,0.358,1
LOAN000561,1-30,0.121,0.647,0
LOAN000562,90+,0.119,0.787,1
LOAN000563,31-60,0.081,0.557,0
LOAN000564,0,0.135,0.71,0
LOAN000565,0,0.147,0.205,0
LOAN000566,1-30,0.226,0.222,0
LOAN000567,61-90,0.232,0.558,0
LOAN000568,0,0.056,0.433,0
LOAN000569,0,0.182,0.734,0
LOAN000570,0,0.27,0.381,0
LOAN000571,1-30,0.042,0.459,0
LOAN000572,1-30,0.147,0.517,0
LOAN000573,90+,0.228,0.364,0
LOAN000574,0,0.187,0.745,0
LOAN000575,31-60,0.039,0.479,0
LOAN000576,0,0.125,0.454,0
LOAN000577,0,0.157,0.71,1
LOAN000578,31-60,0.299,0.387,0
LOAN000579,0,0.062,0.69,1
LOAN000580,0,0.295,0.273,0
LOAN000581,31-60,0.119,0.31,0
LOAN000582,0,0.068,0.771,0
LOAN000583,0,0.13,0.705,0
LOAN000584,0,0.188,0.433,0
LOAN000585,0,0.072,0.583,0
LOAN000586,61-90,0.095,0.766,0
LOAN000587,0,0.258,0.327,0
LOAN000588,31-60,0.3,0.235,0
LOAN000589,0,0.102,0.522,0
LOAN000590,0,0.053,0.286,0
LOAN000591,0,0.24,0.312,0
LOAN000592,61-90,0.184,0.735,0
LOAN000593,0,0.039,0.204,1
LOAN000594,31-60,0.285,0.69,0
LOAN000595,0,0.033,0.51,0
LOAN000596,90+,0.191,0.536,0
LOAN000597,31-60,0.133,0.603,0
LOAN000598,1-30,0.171,0.459,0
LOAN000599,61-90,0.072,0.269,0
LOAN000600,1-30,0.21,0.262,1
LOAN000601,31-60,0.288,0.653,0
LOAN000602,0,0.143,0.333,0
LOAN000603,0,0.162,0.217,0
LOAN000604,1-30,0.08,0.788,0
LOAN000605,0,0.269,0.788,0
LOAN000606,0,0.292,0.427,0
LOAN000607,0,0.238,0.215,0
LOAN000608,0,0.167,0.636,0
LOAN000609,1-30,0.287,0.699,0
LOAN000610,0,0.055,0.275,0
LOAN000611,90+,0.149,0.281,0
LOAN000612,61-90,0.166,0.693,0
LOAN000613,90+,0.153,0.753,0
LOAN000614,0,0.243,0.674,0
LOAN000615,0,0.204,0.32,0
LOAN000616,90+,0.047,0.447,0
LOAN000617,61-90,0.11,0.561,0
LOAN000618,31-60,0.108,0.296,0
LOAN000619,0,0.174,0.326,0
LOAN000620,0,0.095,0.37,0
LOAN000621,31-60,0.044,0.506,0
LOAN000622,0,0.2,0.506,0
LOAN000623,1-30,0.257,0.689,0
LOAN000624,31-60,0.28,0.652,0
LOAN000625,1-30,0.292,0.748,0
LOAN000626,0,0.237,0.7,0
LOAN000627,0,0.051,0.352,0
LOAN000628,90+,0.257,0.399,0
LOAN000629,1-30,0.126,0.5,1
LOAN000630,31-60,0.222,0.209,0
LOAN000631,1-30,0.164,0.742,0
LOAN000632,1-30,0.25,0.227,0
LOAN000633,1-30,0.133,0.393,0
LOAN000634,0,0.028,0.542,0
LOAN000635,0,0.171,0.511,0
LOAN000636,0,0.06,0.593,0
LOAN000637,0,0.29,0.517,0
LOAN000638,0,0.163,0.337,0
LOAN000639,0,0.171,0.321,0
LOAN000640,61-90,0.273,0.744,0
LOAN000641,0,0.191,0.358,0
LOAN000642,0,0.098,0.369,0
LOAN000643,0,0.096,0.448,0
LOAN000644,1-30,0.155,0.284,0
LOAN000645,0,0.261,0.504,0
LOAN000646,0,0.24,0.599,0
LOAN000647,0,0.289,0.672,1
LOAN000648,31-60,0.031,0.627,0
LOAN000649,90+,0.088,0.289,0
LOAN000650,90+,0.033,0.474,0
LOAN000651,0,0.228,0.223,0
LOAN000652,1-30,0.051,0.211,0
LOAN000653,0,0.039,0.464,0
LOAN000654,0,0.173,0.352,0
LOAN000655,0,0.129,0.61,0
LOAN000656,0,0.217,0.635,0
LOAN000657,31-60,0.151,0.737,0
LOAN000658,0,0.133,0.656,0
LOAN000659,0,0.133,0.229,0
LOAN000660,0,0.263,0.423,0
LOAN000661,0,0.125,0.364,0
LOAN000662,31-60,0.107,0.432,1
LOAN000663,1-30,0.108,0.296,0
LOAN000664,1-30,0.067,0.259,0
LOAN000665,0,0.26,0.513,0
LOAN000666,0,0.053,0.632,0
LOAN000667,0,0.273,0.621,0
LOAN000668,90+,0.092,0.471,0
LOAN000669,90+,0.271,0.513,0
LOAN000670,1-30,0.239,0.51,0
LOAN000671,0,0.179,0.615,0
LOAN000672,0,0.204,0.229,0
LOAN000673,0,0.104,0.626,0
LOAN000674,61-90,0.177,0.549,1
LOAN000675,1-30,0.095,0.319,0
LOAN000676,61-90,0.127,0.229,1
LOAN000677,1-30,0.232,0.265,0
LOAN000678,0,0.081,0.515,0
LOAN000679,0,0.253,0.655,0
LOAN000680,0,0.119,0.401,0
LOAN000681,0,0.164,0.427,0
LOAN000682,0,0.283,0.76,0
LOAN000683,1-30,0.208,0.328,0
LOAN000684,1-30,0.197,0.262,0
LOAN000685,0,0.216,0.406,0
LOAN000686,0,0.276,0.648,0
LOAN000687,0,0.082,0.576,0
LOAN000688,1-30,0.188,0.449,0
LOAN000689,0,0.126,0.779,0
LOAN000690,0,0.013,0.641,0
LOAN000691,61-90,0.046,0.237,0
LOAN000692,0,0.104,0.647,0
LOAN000693,0,0.174,0.214,0
LOAN000694,1-30,0.266,0.59,0
LOAN000695,31-60,0.239,0.326,1
LOAN000696,1-30,0.17,0.618,0
LOAN000697,0,0.031,0.386,1
LOAN000698,0,0.093,0.724,0
LOAN000699,31-60,0.116,0.402,1
LOAN000700,0,0.19,0.572,0
LOAN000701,1-30,0.029,0.372,0
LOAN000702,61-90,0.164,0.75,0
LOAN000703,61-90,0.271,0.669,0
LOAN000704,0,0.215,0.346,0
