payment_id,loan_id,payment_date,amount_paid,days_past_due
PAY000140,LOAN000352,2022-07-12 23:47:17.873842239,1513,0
PAY000141,LOAN000929,2024-02-01 20:17:39.580435276,1867,0
PAY000142,LOAN000940,2024-04-22 01:30:53.268169641,1577,30
PAY000143,LOAN000983,2023-01-29 17:53:54.764742374,1590,0
PAY000144,LOAN000264,2020-01-24 07:20:46.039961100,1298,60
PAY000145,LOAN000646,2023-06-24 04:25:47.802816153,1575,15
PAY000146,LOAN000655,2022-02-02 16:25:46.788684845,1629,0
PAY000147,LOAN000018,2022-10-30 06:33:52.288238287,175,0
PAY000148,LOAN000742,2023-03-31 20:53:10.454366446,325,0
PAY000149,LOAN000645,2021-10-01 21:10:30.234049082,10,30
PAY000150,LOAN000625,2024-08-02 12:56:06.917182207,1029,0
PAY000151,LOAN000498,2020-09-01 18:31:47.846079826,1794,0
PAY000152,LOAN000138,2023-05-11 20:26:59.012372255,1294,5
PAY000153,LOAN000636,2020-01-08 23:09:31.902970076,72,0
PAY000154,LOAN000715,2024-08-16 08:06:06.011302948,492,0
PAY000155,LOAN000572,2020-07-24 13:04:52.443205833,1709,30
PAY000156,LOAN000761,2020-06-22 08:29:01.404639006,1354,0
PAY000157,LOAN000809,2021-08-31 09:43:07.298669338,1879,60
PAY000158,LOAN000524,2021-11-13 12:08:04.236869812,1234,30
PAY000159,LOAN000907,2021-01-26 12:37:46.456368923,231,0
PAY000160,LOAN000254,2022-12-05 00:24:52.517997265,161,0
PAY000161,LOAN000084,2022-03-20 04:53:50.535398483,653,0
PAY000162,LOAN000457,2020-03-03 10:31:52.421784878,635,15
PAY000163,LOAN000531,2021-08-07 00:06:13.052773476,1495,0
PAY000164,LOAN000561,2024-01-20 15:51:44.619683027,226,90
PAY000165,LOAN000675,2023-06-14 02:01:58.442243576,205,15
PAY000166,LOAN000091,2023-08-17 08:08:13.875974178,1826,0
PAY000167,LOAN000599,2023-06-29 11:01:51.193971634,1235,15
PAY000168,LOAN000068,2021-07-22 03:32:42.149771690,1004,0
PAY000169,LOAN000036,2020-07-01 02:03:49.158800840,1024,30
PAY000170,LOAN000764,2021-05-12 19:08:27.907739401,656,5
PAY000171,LOAN000763,2024-02-28 16:07:18.633067846,1267,0
PAY000172,LOAN000139,2024-11-26 07:41:00.748291492,1174,0
PAY000173,LOAN000866,2022-06-21 06:12:14.048596859,717,60
PAY000174,LOAN000892,2020-01-18 17:20:28.185595989,1531,5
PAY000175,LOAN000679,2020-09-12 20:41:05.720861912,1588,90
PAY000176,LOAN000565,2021-08-11 10:35:20.639283419,1090,0
PAY000177,LOAN000897,2022-11-23 01:48:37.314373255,1965,0
PAY000178,LOAN000177,2020-05-17 04:42:22.252577066,1537,0
PAY000179,LOAN000808,2024-09-19 12:19:51.001791239,1175,5
PAY000180,LOAN000812,2021-10-29 00:11:20.062227964,731,0
PAY000181,LOAN000870,2024-07-25 06:59:34.035243511,1617,0
PAY000182,LOAN000617,2023-11-27 00:19:12.026243687,1769,15
PAY000183,LOAN000136,2023-10-12 04:24:48.690947533,1572,5
PAY000184,LOAN000189,2023-01-13 11:26:24.483448744,649,0
PAY000185,LOAN000639,2023-02-19 03:13:00.516321421,115,0
PAY000186,LOAN000341,2023-03-11 15:09:57.087943316,174,30
PAY000187,LOAN000558,2023-02-22 16:10:31.361871719,224,0
PAY000188,LOAN000004,2022-10-08 15:52:31.765279293,1104,0
PAY000189,LOAN000971,2024-12-07 04:16:54.776775837,1749,0
PAY000190,LOAN000256,2023-08-30 21:28:36.481734991,1698,30
PAY000191,LOAN000811,2023-11-20 11:32:42.857646942,1612,30
PAY000192,LOAN000661,2024-05-12 23:44:58.256840228,99,0
PAY000193,LOAN000805,2021-01-28 23:22:20.337610960,1805,0
PAY000194,LOAN000242,2020-06-02 02:38:41.164800882,883,60
PAY000195,LOAN000786,2022-06-01 05:57:18.921511173,1261,90
PAY000196,LOAN000719,2022-07-28 05:24:37.229449987,1112,15
PAY000197,LOAN000414,2024-02-23 21:57:45.674078465,617,90
PAY000198,LOAN000626,2022-03-21 19:01:20.583738804,358,15
PAY000199,LOAN000706,2022-11-08 22:45:48.470641375,1875,30
PAY000200,LOAN000342,2022-08-20 23:00:23.442977190,903,0
PAY000201,LOAN000681,2020-03-10 19:06:56.383898735,255,0
PAY000202,LOAN000378,2023-01-28 23:56:34.029533386,281,0
PAY000203,LOAN000593,2024-02-21 20:02:31.180665970,412,30
PAY000204,LOAN000665,2020-10-14 18:05:02.515300274,1702,60
PAY000205,LOAN000652,2022-12-21 20:15:28.329168081,1149,15
PAY000206,LOAN000825,2022-12-20 12:38:06.550390959,1468,0
PAY000207,LOAN000145,2020-10-26 23:10:56.294195652,1563,0
PAY000208,LOAN000322,2020-08-13 13:37:50.811403036,1475,0
PAY000209,LOAN000121,2024-11-25 13:19:03.344278336,1205,0
PAY000210,LOAN000251,2021-12-20 07:47:53.343406916,1049,15
PAY000211,LOAN000854,2021-02-19 11:59:16.659849644,970,60
PAY000212,LOAN000898,2020-11-09 00:14:19.050847530,1785,0
PAY000213,LOAN000310,2023-05-04 16:59:59.773911715,907,0
PAY000214,LOAN000600,2023-01-18 10:57:26.629943371,1089,15
PAY000215,LOAN000474,2023-03-21 18:28:24.559508324,1624,0
PAY000216,LOAN000569,2020-06-09 18:53:17.859559774,1136,60
PAY000217,LOAN000491,2024-06-20 11:42:15.902061939,293,0
PAY000218,LOAN000574,2021-12-12 04:33:10.682219267,1738,0
PAY000219,LOAN000346,2021-07-26 12:37:18.239370108,526,0
PAY000220,LOAN000819,2022-04-24 17:37:29.060107946,627,0
PAY000221,LOAN000486,2021-12-13 15:37:00.663247108,1311,5
PAY000222,LOAN000472,2024-04-26 18:07:27.961122990,1918,0
PAY000223,LOAN000381,2024-08-24 18:14:06.865717888,621,0
PAY000224,LOAN000279,2021-07-08 09:48:59.885576487,759,0
PAY000225,LOAN000071,2024-04-27 09:51:26.227814674,1302,0
PAY000226,LOAN000520,2023-11-28 20:13:34.261557341,1866,0
PAY000227,LOAN000365,2024-08-27 14:03:17.341103315,409,5
PAY000228,LOAN000932,2021-03-24 23:39:34.879416466,1536,15
PAY000229,LOAN000093,2022-11-20 02:30:17.332216978,95,60
PAY000230,LOAN000372,2021-05-16 14:13:51.426116467,329,0
PAY000231,LOAN000338,2024-02-14 14:53:42.787531853,1065,0
PAY000232,LOAN000436,2020-01-10 17:27:18.389376163,345,0
PAY000233,LOAN000335,2022-10-28 22:11:26.355273724,60,0
PAY000234,LOAN000663,2021-09-11 17:23:31.395879745,1112,15
PAY000235,LOAN000491,2021-08-12 13:02:06.676613808,1731,30
PAY000236,LOAN000916,2023-03-24 05:51:08.959784031,183,15
PAY000237,LOAN000867,2024-04-04 15:53:24.480672121,1981,0
PAY000238,LOAN000039,2023-01-17 23:59:58.278532505,1651,0
PAY000239,LOAN000358,2024-04-07 17:55:43.563725471,510,60
PAY000240,LOAN000573,2021-04-28 10:03:14.982333899,1608,0
PAY000241,LOAN000253,2022-08-07 03:07:02.379845619,85,0
PAY000242,LOAN000965,2022-04-03 03:07:34.194047451,325,90
PAY000243,LOAN000580,2020-01-22 06:36:19.992282391,1866,30
PAY000244,LOAN000397,2022-10-14 07:05:55.868766546,1406,30
PAY000245,LOAN000756,2023-04-23 14:31:06.834581375,1114,0
PAY000246,LOAN000876,2022-12-17 10:15:46.097882509,1906,0
PAY000247,LOAN000169,2023-09-07 04:24:03.606679678,1673,0
PAY000248,LOAN000689,2022-11-09 20:05:44.316998005,1728,15
PAY000249,LOAN000700,2020-05-01 22:51:54.628905535,1788,0
PAY000250,LOAN000510,2020-07-31 17:54:12.024239063,706,30
PAY000251,LOAN000259,2022-12-25 18:13:02.194129944,1019,30
PAY000252,LOAN000583,2021-05-17 09:17:15.394776583,741,5
PAY000253,LOAN000983,2020-05-25 12:16:46.624499083,1104,0
PAY000254,LOAN000458,2022-02-23 21:13:15.941034794,978,0
PAY000255,LOAN000528,2022-10-09 17:56:14.210779667,863,30
PAY000256,LOAN000881,2021-08-23 14:51:14.749752760,675,15
PAY000257,LOAN000340,2023-08-09 05:34:37.110705376,1790,30
PAY000258,LOAN000056,2023-03-22 04:03:13.046484232,661,0
PAY000259,LOAN000217,2021-08-31 01:25:10.189731359,1104,5
PAY000260,LOAN000618,2023-10-11 03:39:02.331297159,55,30
PAY000261,LOAN000815,2023-03-31 03:58:48.809958696,1080,0
PAY000262,LOAN000939,2023-03-10 14:42:17.877681255,1624,15
PAY000263,LOAN000684,2022-10-08 02:41:52.166800976,1455,30
PAY000264,LOAN000730,2020-01-21 19:24:50.998848677,158,0
PAY000265,LOAN000463,2023-06-26 12:26:49.131940602,919,0
PAY000266,LOAN000246,2021-11-18 00:40:49.643595457,1163,5
PAY000267,LOAN000729,2024-09-18 03:33:02.055732250,465,0
PAY000268,LOAN000372,2024-02-03 10:59:46.471895933,1672,30
PAY000269,LOAN000416,2022-12-09 17:13:37.560032368,886,30
PAY000270,LOAN000030,2021-04-05 17:40:31.939720869,1664,60
PAY000271,LOAN000367,2021-01-07 04:36:00.937580824,975,15
PAY000272,LOAN000558,2021-09-13 21:11:39.704946518,878,0
PAY000273,LOAN000645,2022-05-20 16:33:04.284348011,1538,0
PAY000274,LOAN000107,2021-06-24 21:52:49.743075848,938,30
PAY000275,LOAN000583,2022-07-29 18:37:42.650290489,1033,0
PAY000276,LOAN000838,2020-10-29 03:09:44.704447746,1010,15
PAY000277,LOAN000417,2024-11-21 06:45:05.100381136,783,30
PAY000278,LOAN000619,2020-07-16 04:16:33.189978123,253,0
PAY000279,LOAN000820,2024-08-29 15:53:11.888033628,483,0
PAY000280,LOAN000397,2024-07-27 02:34:07.118347406,391,5
PAY000281,LOAN000271,2022-08-17 20:00:23.064556837,1136,60
PAY000282,LOAN000682,2023-08-17 09:51:56.158087015,498,0
PAY000283,LOAN000115,2022-03-07 15:50:44.770207405,1070,60
PAY000284,LOAN000840,2023-02-25 01:45:22.161890984,1687,5
PAY000285,LOAN000585,2021-09-14 05:34:25.334548473,1582,90
PAY000286,LOAN000255,2021-07-04 05:13:14.518388033,1553,0
PAY000287,LOAN000080,2022-11-22 10:13:10.790259123,1776,0
PAY000288,LOAN000779,2022-06-29 01:59:23.833029032,1366,30
PAY000289,LOAN000127,2022-11-24 19:30:38.572158098,406,60
PAY000290,LOAN000837,2021-06-07 17:29:35.405784130,305,0
PAY000291,LOAN000914,2021-11-01 10:22:01.234241724,116,30
PAY000292,LOAN000234,2020-06-02 06:45:27.999562979,869,60
PAY000293,LOAN000552,2020-04-05 12:12:51.737010002,963,0
PAY000294,LOAN000180,2021-04-08 01:35:17.598848820,539,5
PAY000295,LOAN000156,2020-05-15 15:34:34.636532784,1858,60
PAY000296,LOAN000453,2020-07-08 14:18:48.327178001,1116,0
PAY000297,LOAN000570,2024-01-25 05:17:04.990967989,943,0
PAY000298,LOAN000856,2020-03-12 00:32:01.920436144,297,30
PAY000299,LOAN000760,2023-04-18 21:19:25.062422276,715,0
PAY000300,LOAN000703,2021-05-12 23:06:43.812207699,1494,0
PAY000301,LOAN000023,2024-05-11 07:32:06.027683735,224,90
PAY000302,LOAN000472,2022-06-05 01:56:30.098955154,1314,5
PAY000303,LOAN000399,2021-07-12 06:54:59.718983412,741,30
PAY000304,LOAN000947,2022-08-03 17:25:55.387597084,1987,30
PAY000305,LOAN000591,2021-11-28 20:05:42.788748980,1492,0
PAY000306,LOAN000133,2022-10-27 23:28:23.101113796,1834,0
PAY000307,LOAN000420,2020-07-28 06:02:13.957345486,353,0
PAY000308,LOAN000212,2024-12-26 12:02:22.442368984,203,0
PAY000309,LOAN000899,2022-02-16 11:46:26.850884438,167,15
PAY000310,LOAN000481,2021-09-28 05:13:01.523599386,474,15
PAY000311,LOAN000347,2023-07-21 13:16:53.144297600,113,0
PAY000312,LOAN000165,2021-10-26 20:15:40.233626366,43,0
PAY000313,LOAN000936,2024-03-02 09:24:42.216843367,1135,0
PAY000314,LOAN000347,2022-04-09 22:51:45.798321247,648,5
PAY000315,LOAN000848,2023-08-07 15:11:50.297506094,1759,0
PAY000316,LOAN000397,2020-07-15 07:36:31.084357738,334,0
PAY000317,LOAN000582,2024-03-25 20:38:02.573593855,1977,15
PAY000318,LOAN000725,2023-09-06 03:45:44.223287582,1841,0
PAY000319,LOAN000434,2021-01-21 19:21:26.287200928,700,0
PAY000320,LOAN000576,2020-09-22 10:30:03.439199686,601,30
PAY000321,LOAN000220,2021-07-31 20:47:12.864916325,150,0
PAY000322,LOAN000307,2024-11-18 06:44:35.002777100,483,5
PAY000323,LOAN000990,2021-04-14 05:33:03.173819065,1064,0
PAY000324,LOAN000797,2022-04-13 08:15:57.088411093,893,0
PAY000325,LOAN000696,2020-02-24 20:19:36.686113596,1968,0
PAY000326,LOAN000718,2021-12-26 17:37:57.779112577,72,60
PAY000327,LOAN000465,2022-11-09 19:14:24.132158518,1593,5
PAY000328,LOAN000098,2024-10-07 08:36:28.833297253,1120,90
PAY000329,LOAN000241,2022-08-02 01:50:31.554714918,313,5
PAY000330,LOAN000157,2024-02-05 12:13:04.937661409,1094,5
PAY000331,LOAN000609,2022-09-26 14:27:10.336900234,405,0
PAY000332,LOAN000553,2020-03-15 12:20:28.568834066,343,0
PAY000333,LOAN000650,2021-07-29 12:28:58.261876345,1985,0
PAY000334,LOAN000794,2022-11-17 12:41:41.349761486,795,0
PAY000335,LOAN000919,2024-10-02 17:38:39.185332537,420,0
PAY000336,LOAN000226,2024-04-18 15:08:52.851739407,293,0
PAY000337,LOAN000422,2021-02-21 04:56:13.093850851,475,0
PAY000338,LOAN000071,2021-02-06 03:22:32.976048946,89,0
PAY000339,LOAN000242,2021-01-02 13:01:56.143237114,1725,0
PAY000340,LOAN000529,2024-08-12 09:43:53.778259754,793,15
PAY000341,LOAN000588,2024-04-06 19:42:19.732335329,1110,60
PAY000342,LOAN000044,2023-11-16 17:05:19.454738379,1987,0
PAY000343,LOAN000471,2021-12-18 12:38:57.438614130,742,0
PAY000344,LOAN000370,2022-07-10 12:05:06.439532280,1938,0
PAY000345,LOAN000854,2022-04-28 08:01:06.044800282,1827,60
PAY000346,LOAN000651,2021-04-07 23:00:00.792948246,1573,0
PAY000347,LOAN000688,2022-07-11 16:28:11.163112164,1394,15
PAY000348,LOAN000733,2020-02-25 17:12:45.468891382,86,0
PAY000349,LOAN000926,2020-08-28 19:37:16.525619745,518,0
PAY000350,LOAN000091,2024-06-07 19:10:50.206137419,1197,0
PAY000351,LOAN000021,2023-10-05 07:39:15.929257870,1042,0
PAY000352,LOAN000171,2022-02-11 13:56:02.401522160,1208,60
PAY000353,LOAN000603,2022-08-02 20:00:32.707524300,471,0
PAY000354,LOAN000191,2021-11-06 23:42:40.145663023,1340,5
PAY000355,LOAN000076,2023-09-15 09:42:56.214940071,1621,5
PAY000356,LOAN000280,2023-12-03 17:02:21.965885639,254,15
PAY000357,LOAN000363,2023-10-26 12:31:44.472101212,131,0
PAY000358,LOAN000178,2023-08-13 05:04:44.077947378,194,0
PAY000359,LOAN000237,2021-01-08 15:06:22.474806070,41,0
PAY000360,LOAN000134,2021-09-09 11:18:27.539051533,1007,0
PAY000361,LOAN000876,2022-05-08 09:46:57.479391098,1996,15
PAY000362,LOAN000901,2021-08-27 08:36:39.917231321,771,0
PAY000363,LOAN000279,2023-10-11 06:37:04.427552700,578,5
PAY000364,LOAN000018,2021-08-24 17:29:35.992723227,319,0
PAY000365,LOAN000594,2020-09-09 13:12:01.948908567,1405,60
PAY000366,LOAN000739,2021-12-30 01:07:32.669090509,1689,0
PAY000367,LOAN000370,2024-11-25 07:17:16.975110531,839,0
PAY000368,LOAN000776,2021-02-16 16:26:53.499521255,1629,60
PAY000369,LOAN000111,2023-01-23 09:55:58.358433723,1001,0
PAY000370,LOAN000762,2022-03-02 01:00:08.241737127,1089,90
PAY000371,LOAN000675,2020-05-09 18:17:06.872235537,800,0
PAY000372,LOAN000869,2022-06-10 08:24:48.311290503,1306,0
PAY000373,LOAN000679,2023-07-06 20:30:05.337256432,473,15
PAY000374,LOAN000220,2022-07-26 15:40:10.200353622,687,60
PAY000375,LOAN000919,2024-05-12 08:06:24.059376240,1489,0
PAY000376,LOAN000303,2021-06-11 21:18:37.103045940,988,60
PAY000377,LOAN000702,2020-06-06 13:51:13.188010454,679,5
PAY000378,LOAN000324,2024-09-07 02:31:44.183928967,1282,30
PAY000379,LOAN000436,2021-11-21 23:09:12.722808123,707,0
PAY000380,LOAN000437,2022-11-19 02:13:50.232500076,1003,0
PAY000381,LOAN000169,2023-12-17 23:45:11.068404675,87,60
PAY000382,LOAN000374,2021-08-15 12:30:19.921019316,543,60
PAY000383,LOAN000556,2023-08-01 10:22:57.612042904,117,0
PAY000384,LOAN000380,2020-09-04 09:50:44.616523743,1306,0
PAY000385,LOAN000985,2021-06-16 04:38:53.618881226,773,0
PAY000386,LOAN000013,2020-09-21 09:16:19.103930950,24,5
PAY000387,LOAN000742,2024-01-22 02:50:15.089217901,379,0
PAY000388,LOAN000668,2021-02-10 18:43:25.198406696,1337,0
PAY000389,LOAN000499,2023-08-03 16:42:39.950667620,1705,0
PAY000390,LOAN000645,2024-09-19 09:44:53.240738630,214,30
PAY000391,LOAN000390,2022-08-22 05:45:20.963707685,1146,0
PAY000392,LOAN000548,2022-09-13 15:12:00.080087900,1713,0
PAY000393,LOAN000564,2022-04-22 07:23:59.618230343,874,5
PAY000394,LOAN000529,2021-08-18 09:37:51.627088070,1286,15
PAY000395,LOAN000982,2022-05-19 00:31:18.465584755,450,0
PAY000396,LOAN000491,2023-01-06 07:54:16.829398394,1219,0
PAY000397,LOAN000549,2024-12-06 09:45:30.443540573,868,15
PAY000398,LOAN000698,2024-09-09 07:06:01.429147720,236,30
PAY000399,LOAN000384,2024-04-24 03:40:58.494852543,537,15
PAY000400,LOAN000195,2024-06-12 10:35:44.626511812,1701,60
PAY000401,LOAN000754,2022-05-04 18:15:03.560362101,363,30
PAY000402,LOAN000299,2023-04-16 03:37:07.889078856,632,30
