loan_id,month_end,days_past_due,pd_estimate,lgd_estimate,prev_dpd,recovery_amount
LOAN000499,2023-06-30,90,0.1994,0.5918,0.0,4086.45
LOAN000545,2023-07-31,90,0.2036,0.486,0.0,3305.21
LOAN000224,2023-07-31,90,0.1581,0.2061,,4672.55
LOAN000328,2023-07-31,90,0.1731,0.3657,0.0,3841.28
LOAN000672,2023-07-31,90,0.1746,0.6707,30.0,2256.16
LOAN000177,2023-07-31,90,0.0615,0.8306,0.0,4317.38
LOAN000563,2023-07-31,90,0.0416,0.6768,0.0,3418.4
LOAN000879,2023-07-31,90,0.1662,0.8081,0.0,2332.0
LOAN000450,2023-07-31,90,0.2859,0.2632,,1804.1
LOAN000377,2023-07-31,90,0.1039,0.2428,60.0,2134.37
LOAN000433,2023-07-31,90,0.2562,0.8955,60.0,1058.91
LOAN000106,2023-07-31,90,0.0265,0.8412,30.0,3463.58
LOAN000138,2023-07-31,90,0.197,0.7089,30.0,3291.22
LOAN000296,2023-07-31,90,0.0867,0.8216,60.0,1389.16
LOAN000720,2023-07-31,90,0.1304,0.65,60.0,3078.97
LOAN000331,2023-08-31,90,0.0945,0.3023,0.0,431.68
LOAN000948,2023-08-31,90,0.0911,0.5614,0.0,3398.57
LOAN000508,2023-08-31,90,0.1485,0.4163,0.0,4232.82
LOAN000636,2023-08-31,90,0.1396,0.4059,0.0,4357.65
LOAN000510,2023-08-31,90,0.1807,0.3243,0.0,3724.95
LOAN000807,2023-08-31,90,0.1872,0.4164,30.0,3830.75
LOAN000247,2023-08-31,90,0.1374,0.3302,30.0,4704.28
LOAN000074,2023-08-31,90,0.2629,0.2563,0.0,4892.22
LOAN000551,2023-08-31,90,0.296,0.31,60.0,731.73
LOAN000289,2023-08-31,90,0.1578,0.6246,0.0,4646.57
LOAN000202,2023-08-31,90,0.228,0.4162,60.0,3697.83
LOAN000440,2023-08-31,90,0.2316,0.2216,0.0,1380.12
LOAN000508,2023-08-31,90,0.1353,0.3408,90.0,4649.29
LOAN000906,2023-08-31,90,0.0327,0.8453,,2101.49
LOAN000597,2023-09-30,90,0.1169,0.7207,0.0,153.46
LOAN000147,2023-09-30,90,0.1922,0.2212,,780.55
LOAN000317,2023-09-30,90,0.0713,0.8977,30.0,1689.45
LOAN000425,2023-09-30,90,0.238,0.742,30.0,3777.6
LOAN000763,2023-09-30,90,0.2478,0.7991,30.0,1819.17
LOAN000017,2023-09-30,90,0.1661,0.2302,0.0,4559.44
LOAN000679,2023-09-30,90,0.1929,0.585,0.0,1860.28
LOAN000384,2023-09-30,90,0.2646,0.6852,30.0,2820.85
LOAN000201,2023-09-30,90,0.1135,0.8207,60.0,1783.82
LOAN000937,2023-09-30,90,0.0239,0.413,30.0,4535.42
LOAN000636,2023-09-30,90,0.251,0.6046,90.0,575.39
LOAN000810,2023-09-30,90,0.0539,0.2486,0.0,2245.67
LOAN000653,2023-09-30,90,0.0262,0.332,,3445.26
LOAN000035,2023-09-30,90,0.185,0.6172,60.0,80.31
LOAN000885,2023-09-30,90,0.2423,0.5616,30.0,1355.02
LOAN000770,2023-09-30,90,0.2167,0.3492,30.0,4304.17
LOAN000315,2023-09-30,90,0.1021,0.5192,30.0,3152.33
LOAN000913,2023-10-31,90,0.0688,0.668,0.0,2112.65
LOAN000159,2023-10-31,90,0.0991,0.8692,60.0,600.3
LOAN000808,2023-10-31,90,0.0632,0.7816,60.0,1857.3
LOAN000853,2023-10-31,90,0.16,0.3474,0.0,4316.04
LOAN000403,2023-10-31,90,0.1582,0.5361,30.0,3445.38
LOAN000497,2023-10-31,90,0.2086,0.6367,0.0,4524.37
LOAN000653,2023-10-31,90,0.1501,0.4774,90.0,2244.34
LOAN000329,2023-10-31,90,0.0175,0.8711,30.0,4835.25
LOAN000168,2023-10-31,90,0.2723,0.444,0.0,3752.47
LOAN000689,2023-10-31,90,0.2414,0.4665,0.0,1647.64
LOAN000623,2023-10-31,90,0.1498,0.706,0.0,633.23
LOAN000373,2023-10-31,90,0.1402,0.4193,0.0,123.14
LOAN000891,2023-10-31,90,0.0712,0.2681,0.0,2502.6
LOAN000576,2023-10-31,90,0.0432,0.7856,30.0,4244.14
LOAN000859,2023-10-31,90,0.278,0.7192,30.0,3362.04
LOAN000519,2023-10-31,90,0.1874,0.742,30.0,1125.95
LOAN000888,2023-10-31,90,0.1724,0.4853,90.0,140.53
LOAN000439,2023-10-31,90,0.1552,0.3893,60.0,883.31
LOAN000593,2023-10-31,90,0.0936,0.5706,0.0,1372.78
LOAN000373,2023-10-31,90,0.2355,0.3469,90.0,325.0
LOAN000834,2023-11-30,90,0.1998,0.8076,0.0,1238.12
LOAN000563,2023-11-30,90,0.131,0.2649,0.0,4937.84
LOAN000912,2023-11-30,90,0.102,0.5169,60.0,1001.24
LOAN000888,2023-11-30,90,0.0345,0.8815,0.0,4782.31
LOAN000463,2023-11-30,90,0.0249,0.4095,0.0,3671.87
LOAN000604,2023-11-30,90,0.2282,0.3515,,137.92
LOAN000342,2023-11-30,90,0.2868,0.2924,0.0,1116.27
LOAN000829,2023-11-30,90,0.1473,0.2637,0.0,445.14
LOAN000010,2023-11-30,90,0.241,0.2282,30.0,2500.6
LOAN000865,2023-11-30,90,0.1007,0.7151,0.0,393.63
LOAN000037,2023-11-30,90,0.2178,0.4142,0.0,1403.21
LOAN000467,2023-11-30,90,0.0792,0.357,30.0,1818.61
LOAN000358,2023-11-30,90,0.1183,0.8325,30.0,3069.75
LOAN000634,2023-11-30,90,0.0438,0.3274,0.0,1535.33
LOAN000490,2023-11-30,90,0.0728,0.2435,0.0,910.72
LOAN000013,2023-11-30,90,0.2511,0.6686,30.0,347.59
LOAN000955,2023-11-30,90,0.1357,0.5634,0.0,2494.8
LOAN000111,2023-11-30,90,0.0257,0.5517,30.0,4096.93
LOAN000194,2023-12-31,90,0.0532,0.6613,0.0,4116.45
LOAN000208,2023-12-31,90,0.1513,0.3465,0.0,1328.4
LOAN000107,2023-12-31,90,0.0188,0.4026,60.0,1399.67
LOAN000887,2023-12-31,90,0.0128,0.572,0.0,217.19
LOAN000476,2023-12-31,90,0.0953,0.6355,30.0,4287.17
LOAN000511,2023-12-31,90,0.1249,0.3924,0.0,4649.61
LOAN000346,2023-12-31,90,0.2035,0.8885,0.0,4032.5
LOAN000269,2023-12-31,90,0.275,0.3888,0.0,3465.99
LOAN000866,2023-12-31,90,0.1355,0.3137,0.0,1566.46
LOAN000004,2023-12-31,90,0.1177,0.6339,0.0,4241.15
LOAN000376,2023-12-31,90,0.0175,0.3128,30.0,3964.45
LOAN000095,2023-12-31,90,0.1023,0.6397,0.0,2581.2
LOAN000185,2023-12-31,90,0.2163,0.2845,0.0,3216.37
LOAN000934,2023-12-31,90,0.0136,0.8755,30.0,1036.51
LOAN000835,2023-12-31,90,0.1668,0.5849,30.0,2220.5
LOAN000812,2023-12-31,90,0.2092,0.6982,0.0,2509.42
LOAN000885,2023-12-31,90,0.1094,0.7033,0.0,4656.43
LOAN000528,2023-12-31,90,0.169,0.457,0.0,3124.8
LOAN000177,2023-12-31,90,0.0817,0.8356,0.0,2527.93
LOAN000492,2023-12-31,90,0.0769,0.2574,0.0,665.72
LOAN000542,2023-12-31,90,0.1804,0.8466,30.0,3938.85
LOAN000473,2023-12-31,90,0.1315,0.8315,60.0,4846.27
LOAN000015,2023-12-31,90,0.2667,0.8599,30.0,2279.89
LOAN000947,2024-01-31,90,0.2642,0.3909,30.0,462.52
LOAN000383,2024-01-31,90,0.0897,0.5547,0.0,4861.68
LOAN000510,2024-01-31,90,0.2837,0.2189,0.0,4250.26
LOAN000261,2024-01-31,90,0.1137,0.8505,0.0,2683.54
LOAN000994,2024-01-31,90,0.1299,0.4095,30.0,1525.17
LOAN000146,2024-01-31,90,0.2269,0.3998,0.0,4333.63
LOAN000441,2024-01-31,90,0.2056,0.2023,0.0,2466.97
LOAN000085,2024-01-31,90,0.1975,0.414,30.0,4854.28
LOAN000814,2024-01-31,90,0.2405,0.401,0.0,2333.23
LOAN000496,2024-01-31,90,0.2451,0.6082,30.0,2934.9
LOAN000924,2024-01-31,90,0.1453,0.2934,0.0,1349.12
LOAN000538,2024-01-31,90,0.0456,0.2183,0.0,2082.58
LOAN000339,2024-01-31,90,0.177,0.7834,0.0,833.93
LOAN000427,2024-02-29,90,0.0693,0.6431,0.0,768.98
LOAN000922,2024-02-29,90,0.1855,0.7608,0.0,3608.34
LOAN000212,2024-02-29,90,0.1504,0.6081,0.0,1155.57
LOAN000245,2024-02-29,90,0.1782,0.3908,,4240.02
LOAN000801,2024-02-29,90,0.2276,0.4355,0.0,1649.31
LOAN000050,2024-02-29,90,0.0484,0.7428,60.0,333.49
LOAN000871,2024-02-29,90,0.1012,0.3324,60.0,1734.78
LOAN000031,2024-02-29,90,0.181,0.5641,0.0,193.06
LOAN000179,2024-02-29,90,0.2701,0.2231,0.0,2259.78
LOAN000657,2024-02-29,90,0.2558,0.2399,30.0,2960.37
LOAN000931,2024-02-29,90,0.2106,0.4181,60.0,3488.39
LOAN000872,2024-02-29,90,0.2986,0.3725,0.0,4484.47
LOAN000017,2024-02-29,90,0.2198,0.3197,0.0,4727.31
LOAN000789,2024-02-29,90,0.1949,0.5228,60.0,1935.39
LOAN000835,2024-02-29,90,0.1741,0.5063,30.0,95.89
LOAN000222,2024-02-29,90,0.0669,0.3615,0.0,3614.71
LOAN000598,2024-02-29,90,0.1979,0.6535,0.0,3723.78
LOAN000439,2024-02-29,90,0.2142,0.6801,60.0,4927.31
LOAN000014,2024-02-29,90,0.0719,0.7371,0.0,3091.91
LOAN000674,2024-02-29,90,0.2833,0.5661,0.0,3469.54
LOAN000819,2024-02-29,90,0.0476,0.4212,0.0,4237.97
LOAN000479,2024-02-29,90,0.159,0.3422,0.0,1527.85
LOAN000727,2024-02-29,90,0.1686,0.755,30.0,4357.45
LOAN000661,2024-02-29,90,0.2226,0.2139,0.0,2721.96
LOAN000798,2024-02-29,90,0.1133,0.8138,0.0,999.13
LOAN000469,2024-02-29,90,0.1789,0.859,0.0,3776.36
LOAN000508,2024-02-29,90,0.1073,0.4237,30.0,3644.98
LOAN000953,2024-02-29,90,0.165,0.6901,,2016.08
LOAN000539,2024-03-31,90,0.2685,0.2537,0.0,3058.65
LOAN000896,2024-03-31,90,0.2556,0.6151,0.0,2143.59
LOAN000229,2024-03-31,90,0.202,0.6934,0.0,2444.28
LOAN000742,2024-03-31,90,0.0544,0.3802,0.0,1588.04
LOAN000791,2024-03-31,90,0.1632,0.548,0.0,145.19
LOAN000492,2024-03-31,90,0.1738,0.5445,0.0,952.35
LOAN000830,2024-03-31,90,0.2024,0.8478,0.0,3204.82
LOAN000074,2024-03-31,90,0.0433,0.4083,0.0,2144.82
LOAN000342,2024-03-31,90,0.0561,0.583,0.0,294.62
LOAN000450,2024-03-31,90,0.148,0.7743,30.0,3708.81
LOAN000683,2024-03-31,90,0.2187,0.3507,0.0,778.92
LOAN000292,2024-03-31,90,0.2222,0.3537,60.0,3689.71
LOAN000740,2024-03-31,90,0.1335,0.2843,0.0,1097.36
LOAN000259,2024-03-31,90,0.2849,0.2572,0.0,4597.91
LOAN000792,2024-03-31,90,0.0113,0.7271,60.0,3494.6
LOAN000988,2024-03-31,90,0.2629,0.5445,0.0,1938.25
LOAN000326,2024-03-31,90,0.1291,0.2161,0.0,2388.22
LOAN000569,2024-03-31,90,0.1334,0.6434,0.0,4931.52
LOAN000987,2024-03-31,90,0.0799,0.4266,0.0,828.68
LOAN000524,2024-03-31,90,0.1963,0.3194,0.0,2468.49
LOAN000924,2024-04-30,90,0.2678,0.8465,90.0,1708.22
LOAN000907,2024-04-30,90,0.2616,0.8256,0.0,1609.85
LOAN000312,2024-04-30,90,0.2652,0.5375,0.0,4072.1
LOAN000388,2024-04-30,90,0.2935,0.3384,0.0,4277.29
LOAN000081,2024-04-30,90,0.1029,0.2429,0.0,2679.54
LOAN000285,2024-04-30,90,0.1902,0.4972,0.0,2377.18
LOAN000582,2024-04-30,90,0.1808,0.2001,60.0,341.11
LOAN000033,2024-04-30,90,0.1343,0.4855,0.0,1806.27
LOAN000961,2024-04-30,90,0.1861,0.21,30.0,3883.82
LOAN000490,2024-04-30,90,0.0911,0.5343,30.0,690.18
LOAN000142,2024-04-30,90,0.0258,0.7596,0.0,4207.68
LOAN000283,2024-04-30,90,0.0512,0.4864,0.0,2714.74
LOAN000093,2024-04-30,90,0.0101,0.4916,0.0,4585.98
LOAN000767,2024-04-30,90,0.0157,0.7392,0.0,2729.98
LOAN000508,2024-04-30,90,0.0561,0.5428,0.0,2221.5
LOAN000655,2024-04-30,90,0.0781,0.7553,60.0,4659.29
LOAN000864,2024-04-30,90,0.1829,0.2074,0.0,1438.08
LOAN000433,2024-05-31,90,0.0276,0.4277,0.0,3464.17
LOAN000743,2024-05-31,90,0.1175,0.3549,0.0,4062.55
LOAN000543,2024-05-31,90,0.1256,0.7602,60.0,1011.59
LOAN000987,2024-05-31,90,0.1601,0.5689,0.0,548.13
LOAN000782,2024-05-31,90,0.1464,0.2985,0.0,3793.98
LOAN000595,2024-05-31,90,0.2389,0.3279,60.0,444.66
LOAN000114,2024-05-31,90,0.0721,0.4174,0.0,2861.08
LOAN000214,2024-05-31,90,0.0204,0.4445,60.0,2621.16
LOAN000237,2024-05-31,90,0.2313,0.7624,0.0,1020.77
LOAN000198,2024-05-31,90,0.1448,0.6052,60.0,2180.26
LOAN000726,2024-05-31,90,0.0551,0.2671,0.0,1200.4
LOAN000838,2024-05-31,90,0.0508,0.7419,0.0,4610.55
LOAN000837,2024-05-31,90,0.0966,0.4305,0.0,3180.72
LOAN000036,2024-05-31,90,0.1308,0.5723,0.0,2969.88
LOAN000074,2024-05-31,90,0.0411,0.2911,0.0,3677.19
LOAN000638,2024-05-31,90,0.2763,0.4617,30.0,398.6
LOAN000430,2024-05-31,90,0.0379,0.7484,0.0,2120.14
LOAN000132,2024-05-31,90,0.023,0.4927,0.0,3503.07
LOAN000909,2024-05-31,90,0.2045,0.4658,0.0,2632.82
LOAN000579,2024-05-31,90,0.1468,0.8282,0.0,2125.57
LOAN000440,2024-05-31,90,0.2574,0.6434,0.0,3588.91
LOAN000158,2024-05-31,90,0.2236,0.4175,0.0,3885.23
LOAN000777,2024-05-31,90,0.0539,0.888,0.0,1433.14
LOAN000517,2024-06-30,90,0.1919,0.2103,0.0,1758.92
LOAN000368,2024-06-30,90,0.2061,0.4043,30.0,1307.72
LOAN000280,2024-06-30,90,0.1143,0.8273,30.0,301.01
LOAN000946,2024-06-30,90,0.1116,0.5486,0.0,1331.82
LOAN000648,2024-06-30,90,0.0119,0.8535,0.0,4138.89
LOAN000554,2024-06-30,90,0.2405,0.7537,0.0,189.17
LOAN000792,2024-06-30,90,0.1844,0.8364,0.0,3513.14
LOAN000485,2024-06-30,90,0.1395,0.4271,60.0,109.27
LOAN000784,2024-06-30,90,0.2586,0.7815,60.0,3119.9
LOAN000696,2024-06-30,90,0.0449,0.2783,0.0,1077.42
LOAN000559,2024-06-30,90,0.1422,0.3722,60.0,444.23
LOAN000331,2024-06-30,90,0.1998,0.8533,30.0,2312.01
LOAN000777,2024-06-30,90,0.1333,0.3027,90.0,746.11
LOAN000606,2024-06-30,90,0.2133,0.3272,30.0,1082.58
LOAN000951,2024-06-30,90,0.1645,0.6638,0.0,875.18
LOAN000409,2024-06-30,90,0.0169,0.3862,30.0,1125.74
LOAN000737,2024-06-30,90,0.0181,0.5359,0.0,2193.97
LOAN000010,2024-06-30,90,0.0272,0.6798,0.0,3244.82
LOAN000764,2024-06-30,90,0.289,0.6057,0.0,4913.43
LOAN000835,2024-06-30,90,0.2446,0.4925,60.0,1976.55
LOAN000268,2024-06-30,90,0.2086,0.661,0.0,2636.68
LOAN000212,2024-07-31,90,0.0992,0.472,0.0,3940.96
LOAN000107,2024-07-31,90,0.2689,0.764,0.0,1838.3
LOAN000475,2024-07-31,90,0.073,0.2609,60.0,4235.53
LOAN000095,2024-07-31,90,0.2857,0.4561,0.0,3307.27
LOAN000994,2024-07-31,90,0.1393,0.5262,0.0,2346.58
LOAN000775,2024-07-31,90,0.1274,0.3688,60.0,1764.57
LOAN000424,2024-07-31,90,0.0419,0.3607,0.0,2527.76
LOAN000259,2024-07-31,90,0.2745,0.2811,0.0,3651.77
LOAN000289,2024-07-31,90,0.1803,0.3238,30.0,2214.9
LOAN000564,2024-07-31,90,0.1418,0.3429,30.0,1381.72
LOAN000402,2024-07-31,90,0.1087,0.3019,0.0,753.29
LOAN000858,2024-07-31,90,0.0401,0.8767,0.0,3716.12
LOAN000279,2024-07-31,90,0.2257,0.8355,30.0,4148.01
LOAN000564,2024-07-31,90,0.1732,0.6241,90.0,623.06
LOAN000554,2024-07-31,90,0.1786,0.2218,90.0,460.94
LOAN000889,2024-07-31,90,0.189,0.6763,60.0,3421.32
LOAN000156,2024-08-31,90,0.2037,0.2377,60.0,2728.77
LOAN000874,2024-08-31,90,0.0809,0.4031,0.0,3434.65
LOAN000843,2024-08-31,90,0.0339,0.7511,30.0,64.9
LOAN000755,2024-08-31,90,0.0425,0.2504,30.0,1435.84
LOAN000296,2024-08-31,90,0.2061,0.8889,60.0,4631.3
LOAN000302,2024-08-31,90,0.0437,0.7364,0.0,534.7
LOAN000369,2024-08-31,90,0.089,0.8925,0.0,4786.35
LOAN000127,2024-08-31,90,0.1009,0.8855,30.0,270.08
LOAN000555,2024-08-31,90,0.1636,0.5287,30.0,4633.47
LOAN000703,2024-08-31,90,0.1292,0.3217,30.0,2128.6
LOAN000756,2024-08-31,90,0.1924,0.7946,0.0,4017.8
LOAN000973,2024-08-31,90,0.0476,0.35,0.0,576.78
LOAN000579,2024-08-31,90,0.1962,0.8729,90.0,80.8
LOAN000770,2024-08-31,90,0.0435,0.4086,0.0,3942.78
LOAN000657,2024-08-31,90,0.1549,0.7922,0.0,3417.69
LOAN000035,2024-08-31,90,0.0291,0.316,30.0,996.72
LOAN000336,2024-08-31,90,0.0542,0.7514,0.0,3202.32
LOAN000229,2024-08-31,90,0.0251,0.4564,0.0,4164.04
LOAN000820,2024-09-30,90,0.2027,0.5111,0.0,1978.04
LOAN000026,2024-09-30,90,0.201,0.3123,0.0,1248.27
LOAN000811,2024-09-30,90,0.2953,0.857,30.0,3691.83
LOAN000976,2024-09-30,90,0.2822,0.3006,0.0,699.91
LOAN000489,2024-09-30,90,0.2426,0.7146,0.0,4799.72
LOAN000299,2024-09-30,90,0.0301,0.5373,0.0,3362.81
LOAN000689,2024-09-30,90,0.1031,0.797,60.0,3562.31
LOAN000593,2024-09-30,90,0.0686,0.4356,60.0,124.13
LOAN000618,2024-10-31,90,0.1291,0.878,0.0,875.62
LOAN000691,2024-10-31,90,0.228,0.6928,30.0,1304.35
LOAN000625,2024-10-31,90,0.1952,0.4955,0.0,2614.87
LOAN000863,2024-10-31,90,0.0868,0.5607,0.0,4803.31
LOAN000447,2024-10-31,90,0.1649,0.5869,0.0,421.53
LOAN000496,2024-10-31,90,0.2318,0.3085,0.0,656.93
LOAN000852,2024-10-31,90,0.0905,0.4424,0.0,880.65
LOAN000645,2024-10-31,90,0.0363,0.7051,0.0,2623.25
LOAN000615,2024-10-31,90,0.0879,0.7396,0.0,834.96
LOAN000916,2024-10-31,90,0.1336,0.8786,0.0,3699.14
LOAN000901,2024-10-31,90,0.1136,0.2088,0.0,571.74
LOAN000765,2024-10-31,90,0.1194,0.8854,0.0,1775.82
LOAN000088,2024-10-31,90,0.0977,0.87,0.0,663.72
LOAN000767,2024-10-31,90,0.2069,0.4239,90.0,3882.81
LOAN000404,2024-10-31,90,0.1894,0.3588,0.0,3287.64
LOAN000088,2024-10-31,90,0.1377,0.4867,90.0,3963.01
LOAN000955,2024-11-30,90,0.1528,0.2156,30.0,1349.43
LOAN000856,2024-11-30,90,0.0473,0.4604,0.0,2625.55
LOAN000631,2024-11-30,90,0.0686,0.5409,0.0,4210.14
LOAN000774,2024-11-30,90,0.258,0.725,0.0,114.11
LOAN000913,2024-11-30,90,0.2849,0.7021,0.0,971.34
LOAN000465,2024-11-30,90,0.0704,0.6065,0.0,4107.77
LOAN000054,2024-11-30,90,0.2305,0.4558,0.0,4100.7
LOAN000296,2024-11-30,90,0.0291,0.4749,0.0,899.21
