loan_id,month_end,days_past_due,pd_estimate,lgd_estimate,prev_dpd
LOAN000164,2023-01-31,0,0.0678,0.2003,
LOAN000246,2023-01-31,0,0.1342,0.5778,
LOAN000839,2023-01-31,0,0.2558,0.2572,
LOAN000767,2023-01-31,0,0.0843,0.5635,
LOAN000290,2023-01-31,0,0.097,0.8884,
LOAN000365,2023-01-31,0,0.0755,0.8374,
LOAN000660,2023-01-31,60,0.2221,0.6513,
LOAN000114,2023-01-31,90,0.1607,0.246,
LOAN000932,2023-01-31,0,0.1337,0.494,
LOAN000020,2023-01-31,0,0.267,0.4286,
LOAN000351,2023-01-31,0,0.2034,0.3412,
LOAN000108,2023-01-31,0,0.0469,0.798,0.0
LOAN000948,2023-01-31,0,0.2911,0.451,
LOAN000524,2023-01-31,0,0.2039,0.3838,
LOAN000069,2023-01-31,0,0.2496,0.7369,
LOAN000404,2023-01-31,0,0.1738,0.3258,
LOAN000849,2023-01-31,0,0.2932,0.6804,
LOAN000082,2023-01-31,60,0.1169,0.4136,
LOAN000730,2023-01-31,0,0.1409,0.6148,
LOAN000512,2023-01-31,0,0.1651,0.4866,
LOAN000573,2023-01-31,0,0.1025,0.8204,
LOAN000424,2023-01-31,0,0.1605,0.3497,
LOAN000960,2023-01-31,0,0.2782,0.8303,
LOAN000561,2023-01-31,60,0.228,0.2575,
LOAN000830,2023-01-31,0,0.0685,0.2326,
LOAN000632,2023-01-31,90,0.2357,0.894,
LOAN000644,2023-01-31,0,0.0346,0.4782,
LOAN000316,2023-01-31,0,0.0594,0.5711,30.0
LOAN000764,2023-01-31,0,0.1257,0.2909,
LOAN000910,2023-01-31,0,0.1944,0.8572,
LOAN000690,2023-01-31,60,0.0538,0.5392,
LOAN000643,2023-01-31,0,0.1801,0.7513,0.0
LOAN000390,2023-01-31,60,0.1781,0.6491,
LOAN000844,2023-01-31,0,0.2826,0.338,
LOAN000955,2023-01-31,0,0.1065,0.6447,
LOAN000404,2023-01-31,0,0.2845,0.3717,0.0
LOAN000917,2023-01-31,0,0.0924,0.6583,
LOAN000159,2023-01-31,0,0.257,0.5658,
LOAN000734,2023-01-31,0,0.2022,0.2458,
LOAN000253,2023-01-31,0,0.1953,0.4279,
LOAN000417,2023-01-31,0,0.1295,0.2998,0.0
LOAN000106,2023-01-31,60,0.0413,0.4147,30.0
LOAN000360,2023-01-31,0,0.1417,0.7588,
LOAN000735,2023-01-31,0,0.1441,0.2047,
LOAN000641,2023-01-31,0,0.1839,0.3511,
LOAN000427,2023-01-31,30,0.0276,0.7929,
LOAN000467,2023-01-31,60,0.151,0.2945,
LOAN000651,2023-01-31,0,0.2673,0.3996,
LOAN000605,2023-01-31,0,0.2597,0.4444,
LOAN000990,2023-01-31,0,0.1393,0.6711,
LOAN000962,2023-01-31,0,0.162,0.8845,
LOAN000180,2023-01-31,0,0.2671,0.5422,
LOAN000454,2023-01-31,30,0.2991,0.596,
LOAN000077,2023-01-31,0,0.0812,0.868,
LOAN000226,2023-01-31,0,0.1715,0.696,
LOAN000671,2023-01-31,0,0.1756,0.4366,
LOAN000742,2023-01-31,0,0.1703,0.7596,
LOAN000347,2023-01-31,90,0.087,0.4409,
LOAN000118,2023-01-31,0,0.2329,0.3006,
LOAN000203,2023-01-31,30,0.1816,0.3955,
LOAN000391,2023-01-31,60,0.1692,0.4648,0.0
LOAN000282,2023-01-31,0,0.0447,0.5516,
LOAN000758,2023-01-31,0,0.2378,0.4074,
LOAN000196,2023-01-31,0,0.119,0.7484,
LOAN000020,2023-01-31,0,0.1956,0.486,0.0
LOAN000888,2023-01-31,0,0.1354,0.8628,
LOAN000701,2023-01-31,0,0.0142,0.85,
LOAN000796,2023-01-31,30,0.2596,0.7732,
LOAN000387,2023-01-31,60,0.1679,0.8961,
LOAN000325,2023-01-31,0,0.0487,0.3694,
LOAN000265,2023-01-31,0,0.1419,0.2928,
LOAN000259,2023-01-31,0,0.0676,0.4525,
LOAN000784,2023-01-31,0,0.2723,0.6183,0.0
LOAN000356,2023-01-31,0,0.1465,0.3622,
LOAN000648,2023-01-31,0,0.0664,0.7197,0.0
LOAN000196,2023-01-31,0,0.2519,0.6212,0.0
LOAN000177,2023-01-31,0,0.2024,0.3175,0.0
LOAN000773,2023-01-31,0,0.0804,0.3005,
LOAN000791,2023-01-31,0,0.1895,0.5721,0.0
LOAN000997,2023-01-31,0,0.0656,0.8136,30.0
LOAN000927,2023-01-31,0,0.2348,0.2656,
LOAN000959,2023-01-31,30,0.135,0.7408,
LOAN000470,2023-01-31,60,0.245,0.5783,0.0
LOAN000642,2023-01-31,0,0.0364,0.8665,
LOAN000915,2023-01-31,0,0.0965,0.7287,
LOAN000185,2023-01-31,0,0.1441,0.2628,
LOAN000446,2023-01-31,0,0.2674,0.8945,
LOAN000392,2023-01-31,0,0.0392,0.587,
LOAN000271,2023-01-31,0,0.2995,0.8454,
LOAN000114,2023-01-31,0,0.0179,0.4919,90.0
LOAN000008,2023-01-31,0,0.0665,0.2336,60.0
LOAN000958,2023-01-31,60,0.1609,0.8632,
LOAN000070,2023-01-31,60,0.1689,0.3772,0.0
LOAN000232,2023-01-31,0,0.1532,0.3976,
LOAN000908,2023-01-31,0,0.0512,0.8398,
LOAN000001,2023-01-31,0,0.2114,0.8706,
LOAN000994,2023-01-31,60,0.2287,0.7395,
LOAN000996,2023-01-31,0,0.2052,0.7915,
LOAN000773,2023-01-31,60,0.2738,0.6609,0.0
LOAN000380,2023-01-31,0,0.1223,0.5701,
LOAN000297,2023-01-31,0,0.1214,0.3519,
LOAN000252,2023-01-31,0,0.089,0.3866,
LOAN000030,2023-01-31,60,0.2445,0.8292,
LOAN000469,2023-01-31,90,0.0438,0.7152,
LOAN000281,2023-01-31,0,0.2792,0.4767,
LOAN000381,2023-01-31,0,0.2848,0.3028,
LOAN000956,2023-01-31,60,0.1629,0.3048,
LOAN000406,2023-01-31,0,0.1371,0.3936,
LOAN000532,2023-01-31,60,0.1372,0.2754,
LOAN000144,2023-01-31,0,0.2479,0.4316,
LOAN000712,2023-01-31,0,0.2895,0.2312,0.0
LOAN000431,2023-01-31,0,0.0665,0.8653,
LOAN000973,2023-01-31,30,0.2418,0.8654,
LOAN000550,2023-01-31,0,0.2521,0.4749,
LOAN000449,2023-01-31,30,0.1273,0.4802,
LOAN000055,2023-01-31,0,0.1313,0.4007,
LOAN000523,2023-01-31,0,0.0143,0.2829,
LOAN000446,2023-01-31,0,0.0882,0.7653,0.0
LOAN000697,2023-01-31,0,0.1669,0.3637,
LOAN000314,2023-01-31,90,0.1701,0.8591,
LOAN000683,2023-01-31,30,0.2176,0.5253,
LOAN000363,2023-01-31,0,0.243,0.4526,
LOAN000776,2023-01-31,0,0.1142,0.5588,
LOAN000757,2023-01-31,90,0.0928,0.742,
LOAN000833,2023-01-31,0,0.0708,0.6109,
LOAN000820,2023-01-31,90,0.1374,0.3547,
LOAN000491,2023-01-31,0,0.0579,0.838,
LOAN000881,2023-01-31,0,0.1979,0.595,
LOAN000081,2023-01-31,90,0.0383,0.3082,
LOAN000962,2023-01-31,0,0.2028,0.7219,0.0
LOAN000800,2023-01-31,60,0.0366,0.218,
LOAN000389,2023-01-31,60,0.2435,0.4454,
LOAN000164,2023-01-31,0,0.2538,0.4875,0.0
LOAN000675,2023-01-31,0,0.1863,0.2096,30.0
LOAN000825,2023-01-31,0,0.291,0.4148,
LOAN000612,2023-01-31,0,0.1126,0.8359,
LOAN000163,2023-01-31,0,0.1375,0.6215,
LOAN000129,2023-01-31,0,0.0716,0.3677,
LOAN000257,2023-01-31,0,0.1762,0.2647,
LOAN000811,2023-01-31,0,0.1354,0.704,
LOAN000294,2023-01-31,0,0.2943,0.4817,
LOAN000432,2023-01-31,30,0.1795,0.2968,
LOAN000814,2023-01-31,0,0.0122,0.8655,
LOAN000108,2023-01-31,0,0.0643,0.3148,0.0
LOAN000665,2023-01-31,0,0.2087,0.7787,
LOAN000430,2023-01-31,0,0.2563,0.6588,
LOAN000151,2023-01-31,60,0.1848,0.2278,
LOAN000511,2023-01-31,0,0.2902,0.4359,
LOAN000133,2023-01-31,0,0.2572,0.7648,
LOAN000036,2023-01-31,0,0.2294,0.6328,
LOAN000041,2023-01-31,0,0.2081,0.2832,
LOAN000212,2023-01-31,0,0.1149,0.351,
LOAN000174,2023-01-31,0,0.0187,0.5296,0.0
LOAN000827,2023-01-31,60,0.1697,0.2428,
LOAN000594,2023-01-31,30,0.2096,0.4094,
LOAN000546,2023-01-31,0,0.2624,0.6345,
LOAN000419,2023-01-31,0,0.1829,0.2282,
LOAN000783,2023-01-31,60,0.1371,0.7264,
LOAN000730,2023-01-31,0,0.0369,0.572,0.0
LOAN000764,2023-01-31,0,0.1368,0.7703,0.0
LOAN000926,2023-01-31,0,0.2918,0.7117,
LOAN000213,2023-01-31,0,0.1768,0.5303,
LOAN000142,2023-01-31,0,0.23,0.2202,
LOAN000482,2023-01-31,60,0.2821,0.3544,
LOAN000513,2023-01-31,0,0.0797,0.361,
LOAN000067,2023-01-31,90,0.0864,0.6407,60.0
LOAN000182,2023-01-31,0,0.2287,0.5839,
LOAN000532,2023-01-31,60,0.0191,0.3442,60.0
LOAN000936,2023-01-31,30,0.1044,0.2393,0.0
LOAN000960,2023-01-31,0,0.2423,0.6986,0.0
LOAN000380,2023-01-31,0,0.248,0.8144,0.0
LOAN000241,2023-01-31,60,0.0628,0.7882,
LOAN000716,2023-01-31,0,0.01,0.7058,
LOAN000622,2023-01-31,0,0.2882,0.3265,
LOAN000916,2023-01-31,0,0.1561,0.2829,
LOAN000780,2023-01-31,0,0.1558,0.7132,30.0
LOAN000807,2023-01-31,30,0.2034,0.6116,
LOAN000849,2023-01-31,60,0.2349,0.3767,0.0
LOAN000693,2023-01-31,30,0.1123,0.555,
LOAN000046,2023-01-31,0,0.1656,0.8555,
LOAN000936,2023-01-31,0,0.2369,0.2804,30.0
LOAN000793,2023-01-31,0,0.1181,0.6174,
LOAN000233,2023-01-31,60,0.1726,0.8449,
LOAN000373,2023-01-31,0,0.109,0.4365,
LOAN000647,2023-01-31,0,0.2828,0.8941,
LOAN000439,2023-01-31,0,0.0239,0.371,
LOAN000326,2023-01-31,30,0.2229,0.38,
LOAN000594,2023-01-31,60,0.1596,0.2303,30.0
LOAN000908,2023-01-31,60,0.197,0.3805,0.0
LOAN000677,2023-01-31,60,0.0736,0.5441,
LOAN000639,2023-01-31,0,0.2871,0.5265,
LOAN000555,2023-01-31,30,0.1494,0.8386,
LOAN000543,2023-01-31,0,0.2162,0.3987,
LOAN000471,2023-01-31,60,0.036,0.2804,
LOAN000351,2023-01-31,0,0.095,0.5274,0.0
LOAN000373,2023-01-31,0,0.2728,0.5598,0.0
LOAN000666,2023-01-31,0,0.0148,0.2167,
LOAN000503,2023-01-31,0,0.1134,0.6839,
LOAN000483,2023-01-31,0,0.068,0.8397,
LOAN000794,2023-01-31,90,0.1066,0.4425,
LOAN000620,2023-01-31,90,0.1907,0.5953,
LOAN000164,2023-01-31,30,0.2599,0.8342,0.0
LOAN000657,2023-01-31,0,0.1652,0.7395,
LOAN000545,2023-01-31,0,0.2731,0.5992,
LOAN000483,2023-01-31,0,0.215,0.2789,0.0
LOAN000187,2023-01-31,0,0.2819,0.3458,
LOAN000013,2023-01-31,0,0.0576,0.4604,
LOAN000098,2023-01-31,0,0.2634,0.6278,0.0
LOAN000966,2023-01-31,0,0.2279,0.3508,
LOAN000609,2023-01-31,0,0.2837,0.256,
LOAN000274,2023-01-31,0,0.022,0.8796,
LOAN000890,2023-01-31,0,0.0382,0.7675,
LOAN000084,2023-01-31,0,0.0122,0.6632,0.0
LOAN000868,2023-01-31,0,0.0111,0.7069,0.0
LOAN000301,2023-01-31,0,0.0808,0.7954,
LOAN000996,2023-01-31,0,0.176,0.8181,0.0
LOAN000284,2023-01-31,0,0.1288,0.3028,
LOAN000467,2023-01-31,0,0.0488,0.3713,60.0
LOAN000960,2023-01-31,30,0.2308,0.8809,0.0
LOAN000907,2023-01-31,30,0.0513,0.4993,
LOAN000379,2023-01-31,0,0.2962,0.2962,
LOAN000631,2023-01-31,0,0.0998,0.6776,
LOAN000359,2023-01-31,0,0.0243,0.5315,
LOAN000919,2023-01-31,30,0.0613,0.3924,
LOAN000038,2023-01-31,60,0.0191,0.4432,
LOAN000334,2023-01-31,0,0.0762,0.6988,
LOAN000042,2023-01-31,30,0.203,0.3977,30.0
LOAN000785,2023-01-31,0,0.1152,0.8298,
LOAN000230,2023-01-31,30,0.0132,0.3152,
LOAN000365,2023-01-31,30,0.1072,0.7569,0.0
LOAN000051,2023-01-31,60,0.1092,0.3645,
LOAN000694,2023-01-31,0,0.0881,0.8745,
LOAN000309,2023-01-31,60,0.2249,0.2146,
LOAN000356,2023-01-31,60,0.05,0.3323,0.0
LOAN000316,2023-01-31,0,0.1693,0.2219,0.0
LOAN000685,2023-01-31,0,0.0181,0.7756,
LOAN000676,2023-01-31,30,0.1442,0.435,
LOAN000312,2023-01-31,0,0.2337,0.4978,
LOAN000754,2023-01-31,60,0.1071,0.3733,
LOAN000017,2023-01-31,0,0.0393,0.4291,
LOAN000075,2023-01-31,0,0.1715,0.843,
LOAN000951,2023-01-31,0,0.2939,0.6963,
LOAN000230,2023-01-31,0,0.2186,0.4568,30.0
LOAN000129,2023-01-31,0,0.1454,0.2198,0.0
LOAN000340,2023-01-31,0,0.1808,0.2707,0.0
LOAN000834,2023-01-31,0,0.1107,0.4573,
LOAN000318,2023-01-31,0,0.1243,0.3974,
LOAN000874,2023-01-31,0,0.2492,0.6552,
LOAN000350,2023-02-28,0,0.2389,0.3442,
LOAN000096,2023-02-28,0,0.054,0.8152,
LOAN000921,2023-02-28,0,0.0624,0.5443,
LOAN000190,2023-02-28,0,0.1285,0.2098,
LOAN000346,2023-02-28,0,0.11,0.4958,
LOAN000911,2023-02-28,60,0.1046,0.7715,
LOAN000058,2023-02-28,0,0.1155,0.3146,
LOAN000376,2023-02-28,0,0.2562,0.4822,
LOAN000922,2023-02-28,90,0.1197,0.6887,
LOAN000990,2023-02-28,0,0.1755,0.5438,0.0
LOAN000670,2023-02-28,0,0.2242,0.7188,
LOAN000937,2023-02-28,0,0.1938,0.3525,
LOAN000578,2023-02-28,60,0.2402,0.7957,
LOAN000678,2023-02-28,60,0.079,0.4576,
LOAN000058,2023-02-28,0,0.1405,0.4218,0.0
LOAN000773,2023-02-28,90,0.2499,0.4812,60.0
LOAN000126,2023-02-28,0,0.2486,0.4982,0.0
LOAN000483,2023-02-28,30,0.1119,0.8423,0.0
LOAN000448,2023-02-28,30,0.1238,0.8884,
LOAN000944,2023-02-28,0,0.0881,0.4072,
LOAN000855,2023-02-28,60,0.0203,0.3507,
LOAN000143,2023-02-28,0,0.1249,0.3355,
LOAN000597,2023-02-28,0,0.1693,0.6444,
LOAN000521,2023-02-28,0,0.1299,0.8699,
LOAN000443,2023-02-28,0,0.0365,0.2158,0.0
LOAN000499,2023-02-28,30,0.0321,0.3771,
LOAN000329,2023-02-28,30,0.2827,0.8202,
LOAN000118,2023-02-28,0,0.2507,0.7038,0.0
LOAN000047,2023-02-28,0,0.2012,0.3648,
LOAN000740,2023-02-28,60,0.0704,0.7344,0.0
LOAN000832,2023-02-28,60,0.2407,0.3342,
LOAN000910,2023-02-28,0,0.1003,0.8404,0.0
LOAN000040,2023-02-28,60,0.107,0.2137,0.0
LOAN000498,2023-02-28,0,0.1893,0.5669,0.0
LOAN000721,2023-02-28,0,0.0751,0.8779,
LOAN000201,2023-02-28,0,0.0438,0.8156,0.0
LOAN000920,2023-02-28,0,0.1047,0.8252,
LOAN000373,2023-02-28,60,0.0976,0.2922,0.0
LOAN000908,2023-02-28,0,0.051,0.8296,60.0
LOAN000946,2023-02-28,0,0.2271,0.4784,90.0
LOAN000809,2023-02-28,30,0.0945,0.5196,
LOAN000542,2023-02-28,0,0.2803,0.6615,0.0
LOAN000094,2023-02-28,0,0.1903,0.7842,
LOAN000371,2023-02-28,0,0.0818,0.7878,
LOAN000272,2023-02-28,0,0.0879,0.7235,
LOAN000495,2023-02-28,0,0.1042,0.8902,
LOAN000518,2023-02-28,0,0.1228,0.2752,
LOAN000411,2023-02-28,0,0.0533,0.2987,
LOAN000513,2023-02-28,0,0.2183,0.861,0.0
LOAN000026,2023-02-28,0,0.267,0.587,
LOAN000964,2023-02-28,0,0.2932,0.2086,
LOAN000015,2023-02-28,30,0.1238,0.6328,
LOAN000344,2023-02-28,0,0.0496,0.5244,60.0
LOAN000001,2023-02-28,0,0.2926,0.8697,0.0
LOAN000259,2023-02-28,0,0.1441,0.7804,0.0
LOAN000761,2023-02-28,0,0.0155,0.5801,
LOAN000614,2023-02-28,0,0.0837,0.7947,
LOAN000672,2023-02-28,0,0.047,0.5317,0.0
LOAN000269,2023-02-28,30,0.1263,0.8928,
LOAN000970,2023-02-28,60,0.1387,0.8001,0.0
LOAN000328,2023-02-28,30,0.263,0.8327,
LOAN000394,2023-02-28,0,0.023,0.2311,
LOAN000944,2023-02-28,0,0.255,0.6741,0.0
LOAN000547,2023-02-28,0,0.2285,0.7755,
LOAN000260,2023-02-28,0,0.2556,0.472,
LOAN000160,2023-02-28,0,0.1379,0.4962,
LOAN000395,2023-02-28,0,0.2791,0.7886,
LOAN000796,2023-02-28,0,0.1901,0.4343,30.0
LOAN000827,2023-02-28,30,0.1792,0.3163,60.0
LOAN000998,2023-02-28,0,0.2664,0.7885,
LOAN000023,2023-02-28,0,0.2154,0.3967,
LOAN000662,2023-02-28,30,0.2737,0.7049,0.0
LOAN000007,2023-02-28,0,0.0623,0.2237,
LOAN000311,2023-02-28,0,0.1298,0.6293,
LOAN000397,2023-02-28,0,0.0558,0.8898,
LOAN000268,2023-02-28,0,0.0743,0.8873,
LOAN000352,2023-02-28,0,0.1519,0.4797,
LOAN000847,2023-02-28,90,0.1138,0.5296,
LOAN000574,2023-02-28,0,0.2016,0.4374,
LOAN000006,2023-02-28,30,0.0516,0.5957,60.0
LOAN000981,2023-02-28,30,0.0134,0.6216,0.0
LOAN000098,2023-02-28,0,0.0603,0.6523,0.0
LOAN000475,2023-02-28,0,0.2874,0.8849,
LOAN000544,2023-02-28,0,0.2881,0.8409,
LOAN000254,2023-02-28,0,0.0223,0.8265,
LOAN000085,2023-02-28,0,0.0489,0.3677,
LOAN000467,2023-02-28,0,0.1461,0.5919,0.0
LOAN000426,2023-02-28,30,0.0225,0.3549,
LOAN000721,2023-02-28,0,0.1277,0.6019,0.0
LOAN000441,2023-02-28,0,0.2344,0.2884,
LOAN000831,2023-02-28,30,0.0977,0.5781,0.0
LOAN000722,2023-02-28,0,0.0409,0.7242,
LOAN000739,2023-02-28,60,0.2871,0.735,
LOAN000263,2023-02-28,0,0.2334,0.2554,
LOAN000828,2023-02-28,90,0.2925,0.5449,
LOAN000778,2023-02-28,90,0.228,0.4342,
LOAN000736,2023-02-28,0,0.1406,0.2471,
LOAN000871,2023-02-28,0,0.1178,0.4888,
LOAN000071,2023-02-28,90,0.0535,0.8538,
LOAN000359,2023-02-28,30,0.0914,0.2503,0.0
LOAN000541,2023-02-28,90,0.2323,0.3552,
LOAN000570,2023-02-28,0,0.1274,0.6258,
LOAN000479,2023-02-28,0,0.1701,0.5617,
LOAN000546,2023-02-28,60,0.0809,0.4107,0.0
LOAN000262,2023-02-28,30,0.0849,0.608,
LOAN000126,2023-02-28,0,0.2659,0.7356,0.0
LOAN000666,2023-02-28,0,0.2083,0.5746,0.0
LOAN000133,2023-02-28,0,0.188,0.5437,0.0
