loan_id,collateral_type,collateral_value,ltv_ratio
LOAN000792,Property,6580,1.09
LOAN000411,Vehicle,7908,0.34
LOAN000518,Vehicle,4653,1.03
LOAN000624,Property,11555,0.91
LOAN000035,Vehicle,20260,1.11
LOAN000777,Vehicle,18252,1.11
LOAN000624,Property,24693,0.35
LOAN000803,Vehicle,4300,0.85
LOAN000222,Property,1537,0.41
LOAN000722,Property,30554,0.37
LOAN000529,Vehicle,27366,0.7
LOAN000240,Vehicle,1492,0.39
LOAN000133,Property,24196,0.96
LOAN000731,Property,37778,1.17
LOAN000390,Vehicle,33661,0.81
LOAN000101,Vehicle,8505,0.51
LOAN000651,None,29900,1.06
LOAN000680,Vehicle,17241,1.07
LOAN000497,None,18065,0.96
LOAN000510,Vehicle,40085,0.85
LOAN000702,Vehicle,35333,1.08
LOAN000993,Property,12594,0.45
LOAN000536,Vehicle,31780,1.14
LOAN000976,Vehicle,47147,1.15
LOAN000948,Vehicle,44878,1.08
LOAN000544,None,20013,0.53
LOAN000342,Vehicle,654,1.07
LOAN000840,Property,30762,0.75
LOAN000005,Property,28634,0.84
LOAN000957,Property,43014,1.06
LOAN000193,Property,9178,0.33
LOAN000741,Vehicle,6794,0.63
LOAN000136,Vehicle,10074,1.03
LOAN000834,Vehicle,35683,1.03
LOAN000911,Vehicle,49247,1.06
LOAN000472,Vehicle,1570,0.45
LOAN000215,Vehicle,19138,0.94
LOAN000348,None,48053,0.43
LOAN000875,None,26582,1.01
LOAN000182,Vehicle,16806,0.52
LOAN000167,Vehicle,43335,0.96
LOAN000793,Vehicle,8307,0.71
LOAN000037,Vehicle,23724,1.19
LOAN000674,Vehicle,32643,0.82
LOAN000470,None,25266,0.87
LOAN000451,Vehicle,25215,0.63
LOAN000954,Vehicle,7898,0.96
LOAN000489,Vehicle,12702,0.75
LOAN000141,None,28487,0.32
LOAN000759,None,36240,0.85
LOAN000942,Property,11812,1.05
LOAN000102,Property,20854,0.51
LOAN000710,Vehicle,14127,0.5
LOAN000711,Vehicle,34613,0.85
LOAN000041,Property,29258,1.04
LOAN000946,Property,40909,0.52
LOAN000146,Vehicle,28986,1.14
LOAN000065,Vehicle,15599,1.13
LOAN000942,Property,46653,0.48
LOAN000192,Vehicle,41912,0.54
LOAN000297,Property,2111,0.93
LOAN000037,Vehicle,32157,1.16
LOAN000501,Vehicle,18962,0.94
LOAN000652,Property,11273,0.7
LOAN000617,None,24263,0.45
LOAN000427,Vehicle,39047,0.71
LOAN000663,Vehicle,42718,0.85
LOAN000351,Vehicle,29563,0.6
LOAN000925,Property,40418,0.76
LOAN000325,None,17237,0.42
LOAN000037,Vehicle,45860,0.71
LOAN000096,Vehicle,14361,0.38
LOAN000107,None,43023,0.34
LOAN000630,Property,30784,1.07
LOAN000150,Property,22928,0.48
LOAN000073,Vehicle,1211,0.82
LOAN000056,Vehicle,14206,0.43
LOAN000877,Property,28578,0.54
LOAN000334,Property,11424,0.63
LOAN000251,Property,46341,0.43
LOAN000918,Vehicle,16421,0.34
LOAN000803,Property,25932,1.09
LOAN000824,None,18313,0.31
LOAN000766,None,39712,0.36
LOAN000253,Vehicle,43952,1.02
LOAN000384,Property,3920,0.55
LOAN000455,Property,2568,0.95
LOAN000258,None,40427,0.43
LOAN000781,Property,5306,0.51
LOAN000464,None,40112,0.82
LOAN000033,None,31039,1.19
LOAN000494,Vehicle,12183,0.37
LOAN000325,Property,20115,0.66
LOAN000836,Property,36174,0.34
LOAN000237,Vehicle,21075,0.48
LOAN000690,Vehicle,20307,1.12
LOAN000615,Vehicle,20941,0.39
LOAN000540,Property,22078,1.07
LOAN000738,Vehicle,11617,0.46
LOAN000465,None,4165,1.08
LOAN000743,Property,44890,0.78
LOAN000303,Property,9848,1.09
LOAN000861,Vehicle,48766,0.44
LOAN000846,Property,29283,0.99
LOAN000116,Property,8382,0.91
LOAN000206,Vehicle,5789,0.79
LOAN000911,None,14410,1.03
LOAN000696,Property,41066,0.88
LOAN000480,Vehicle,32483,1.09
LOAN000649,None,36676,0.64
LOAN000402,Vehicle,18045,0.83
LOAN000996,Property,30789,1.08
LOAN000834,Property,47227,0.49
LOAN000675,Vehicle,4590,0.74
LOAN000899,Property,44301,1.16
LOAN000586,Property,15862,0.73
LOAN000232,Property,22574,0.53
LOAN000928,Vehicle,31335,0.62
LOAN000283,Vehicle,14283,1.1
LOAN000479,Vehicle,44662,1.16
LOAN000888,None,36249,1.16
LOAN000766,Vehicle,41333,0.93
LOAN000975,Property,4054,0.76
LOAN000008,None,45847,0.46
LOAN000714,Property,19273,0.41
LOAN000901,None,8658,0.35
LOAN000378,None,1514,0.32
LOAN000816,Vehicle,46795,1.09
LOAN000602,Vehicle,30831,1.03
LOAN000380,Vehicle,46140,0.81
LOAN000843,Vehicle,47469,1.2
LOAN000661,Property,43486,1.16
LOAN000359,Vehicle,36981,0.89
LOAN000175,Property,8085,0.72
LOAN000484,Vehicle,4622,0.44
LOAN000404,Vehicle,43160,0.76
LOAN000032,Property,17338,0.44
LOAN000464,Vehicle,17801,0.66
LOAN000695,Property,23607,1.15
LOAN000156,None,23125,0.61
LOAN000564,Property,37642,0.44
LOAN000807,Vehicle,989,0.82
LOAN000201,None,1484,0.84
LOAN000785,Vehicle,17844,0.47
LOAN000174,Property,35050,0.48
LOAN000243,Vehicle,15459,1.19
LOAN000268,Vehicle,47810,0.52
LOAN000922,None,39251,1.05
LOAN000445,Vehicle,2369,0.72
LOAN000073,None,44764,0.69
LOAN000095,Vehicle,30768,0.57
LOAN000872,None,19528,1.0
LOAN000172,None,40106,1.09
LOAN000898,Property,14050,0.54
LOAN000405,Property,6202,0.39
LOAN000154,Property,13527,0.42
LOAN000182,None,45128,1.01
LOAN000322,Vehicle,33243,0.69
LOAN000288,Property,24959,0.42
LOAN000257,Vehicle,22786,0.61
LOAN000586,Vehicle,6532,0.76
LOAN000173,Vehicle,2325,1.07
LOAN000329,Property,12054,0.88
LOAN000230,None,48601,0.46
LOAN000758,Vehicle,12970,0.44
LOAN000160,Property,4270,0.67
LOAN000185,Property,27768,0.37
LOAN000902,Property,529,0.98
LOAN000142,None,30583,0.66
LOAN000281,Vehicle,9458,0.61
LOAN000906,Vehicle,48770,0.76
LOAN000639,Vehicle,9306,0.94
LOAN000677,None,32662,0.81
LOAN000026,None,9696,1.02
LOAN000245,Vehicle,35389,0.87
LOAN000486,Vehicle,28202,1.01
LOAN000646,Property,36277,0.93
LOAN000896,Property,8239,0.47
LOAN000201,Property,25099,0.35
LOAN000020,None,37327,1.11
LOAN000590,None,11785,1.15
LOAN000669,None,31647,0.95
LOAN000093,Property,30227,0.95
LOAN000007,Vehicle,3410,0.54
LOAN000471,Property,15174,0.79
LOAN000338,Property,18854,1.19
LOAN000258,Vehicle,31176,1.07
LOAN000054,Vehicle,26614,0.57
LOAN000910,Property,23539,0.57
LOAN000547,Property,45429,0.74
LOAN000005,Property,32331,0.66
LOAN000376,Vehicle,44384,0.63
LOAN000553,Property,25646,0.86
LOAN000049,Vehicle,46319,0.31
LOAN000111,Property,18126,0.99
LOAN000145,Property,17596,0.97
LOAN000229,None,31808,1.05
LOAN000722,Property,13554,1.06
LOAN000496,Property,14570,0.81
LOAN000305,Property,42753,1.0
LOAN000541,Property,26750,0.74
LOAN000460,Vehicle,14913,1.16
LOAN000806,Property,12355,0.47
LOAN000627,Property,39421,1.12
LOAN000907,Property,6087,0.53
LOAN000225,Vehicle,9327,0.39
LOAN000058,None,26285,0.7
LOAN000075,Vehicle,32364,0.85
LOAN000427,Vehicle,31811,0.51
LOAN000727,None,7361,0.8
LOAN000131,None,11304,1.03
LOAN000931,Vehicle,14479,0.53
LOAN000497,None,1797,0.82
LOAN000815,Vehicle,48013,0.61
LOAN000909,Property,857,0.78
LOAN000592,Property,49568,0.9
LOAN000304,Property,47701,0.62
LOAN000066,Property,17124,1.2
LOAN000229,Vehicle,11296,0.81
LOAN000982,Vehicle,23738,1.04
LOAN000332,Property,29140,0.95
LOAN000904,Vehicle,41383,1.07
LOAN000276,None,32357,0.46
LOAN000872,Property,20442,0.5
LOAN000583,Vehicle,4360,0.74
LOAN000720,Property,45711,1.07
LOAN000783,Vehicle,4947,0.48
LOAN000143,Vehicle,21023,1.17
LOAN000250,Property,49789,0.41
LOAN000795,None,35235,0.46
LOAN000690,Property,39847,0.45
LOAN000951,Vehicle,5349,0.83
LOAN000079,Property,25218,1.13
LOAN000056,Vehicle,40435,0.53
LOAN000365,Vehicle,22826,0.8
LOAN000307,None,7966,0.46
LOAN000173,None,23289,0.87
LOAN000461,Vehicle,27635,0.41
LOAN000749,Property,45617,0.74
LOAN000677,None,30762,0.89
LOAN000595,Vehicle,24935,0.82
LOAN000492,Vehicle,35287,0.43
LOAN000559,None,39442,0.45
LOAN000638,Property,16189,0.9
LOAN000680,Vehicle,40360,1.03
LOAN000865,Vehicle,43773,1.12
LOAN000373,Vehicle,2855,1.03
LOAN000954,Property,32428,1.18
LOAN000348,Property,833,0.67
LOAN000066,Property,35830,0.6
LOAN000329,Property,15276,0.33
LOAN000851,Vehicle,27514,0.7
LOAN000193,Vehicle,35063,0.89
LOAN000154,Vehicle,15770,1.03
LOAN000159,None,31779,0.54
LOAN000695,Property,33521,0.76
LOAN000265,Vehicle,4157,0.9
LOAN000167,Property,24386,0.8
LOAN000144,None,42883,0.55
LOAN000185,Property,3737,1.02
LOAN000885,Vehicle,36599,0.46
LOAN000864,Vehicle,1527,1.11
LOAN000773,Vehicle,14699,1.16
LOAN000422,None,46551,0.63
LOAN000785,Property,45454,0.64
LOAN000456,Property,14281,0.97
LOAN000839,None,15620,0.71
LOAN000344,None,24789,0.33
LOAN000734,Vehicle,6483,1.13
LOAN000553,Vehicle,1593,0.69
LOAN000515,Property,5289,0.48
LOAN000787,Vehicle,3412,0.8
LOAN000795,Property,48379,0.5
LOAN000935,None,22373,0.49
LOAN000704,Property,14832,0.79
LOAN000103,Vehicle,17064,0.65
LOAN000246,Vehicle,12759,0.82
LOAN000811,Vehicle,42680,1.2
LOAN000022,None,21026,1.07
LOAN000952,Vehicle,21613,0.31
LOAN000814,Vehicle,16506,0.35
LOAN000524,Vehicle,22143,0.85
LOAN000143,None,24913,0.86
LOAN000729,Property,43023,1.09
LOAN000694,None,30622,0.87
LOAN000862,Property,5184,0.5
LOAN000753,Property,8354,0.72
LOAN000192,Vehicle,22857,1.03
LOAN000464,Vehicle,39685,1.13
LOAN000783,Property,18446,0.51
LOAN000374,None,13627,0.79
LOAN000676,Vehicle,43966,0.44
LOAN000691,Vehicle,29904,0.75
LOAN000628,Property,23388,0.38
LOAN000265,Vehicle,17901,1.15
LOAN000377,Property,15928,0.87
LOAN000549,Vehicle,36922,1.07
LOAN000555,Vehicle,48265,1.2
LOAN000862,Vehicle,47010,0.46
LOAN000073,Property,42217,0.92
LOAN000437,Property,12471,1.1
LOAN000880,Vehicle,48659,0.82
LOAN000225,None,22982,0.88
LOAN000818,Vehicle,20468,0.67
LOAN000307,Vehicle,17065,0.91
LOAN000965,Property,7329,0.66
LOAN000347,Vehicle,10987,0.73
LOAN000475,Property,35935,0.39
LOAN000314,None,33125,0.31
LOAN000524,Property,43259,0.35
LOAN000424,Property,16787,0.47
LOAN000523,Property,39441,0.71
LOAN000561,Vehicle,42959,0.32
LOAN000999,Property,48476,0.44
LOAN000824,Vehicle,46503,1.0
LOAN000945,None,14163,0.99
LOAN000248,Vehicle,9676,1.01
LOAN000630,Property,15572,1.13
LOAN000568,None,6016,0.41
LOAN000181,Property,32332,0.45
LOAN000961,None,20189,0.6
LOAN000775,Property,19099,1.12
LOAN000105,Vehicle,17009,1.0
LOAN000190,None,35888,0.59
LOAN000136,Vehicle,9700,0.38
LOAN000699,Vehicle,26289,0.85
LOAN000119,Property,12396,0.53
LOAN000753,Property,22431,0.78
LOAN000830,None,23587,1.15
LOAN000071,None,24253,0.82
LOAN000754,None,33964,1.13
LOAN000130,Vehicle,2770,0.65
LOAN000456,Property,26591,0.87
LOAN000780,Property,42494,1.1
LOAN000904,None,16560,0.83
LOAN000478,Vehicle,42995,0.85
LOAN000984,Vehicle,42273,0.94
LOAN000051,None,26087,1.09
LOAN000573,Vehicle,48352,0.38
LOAN000118,Property,30229,0.6
LOAN000876,Vehicle,26094,0.66
LOAN000263,Property,15316,1.12
LOAN000238,Property,39985,1.16
LOAN000350,Vehicle,21804,0.41
LOAN000892,Property,28886,0.41
LOAN000254,Vehicle,1616,1.14
LOAN000684,Vehicle,29799,0.57
LOAN000308,Vehicle,33087,0.52
LOAN000748,Property,18040,0.33
LOAN000830,Vehicle,48447,0.55
LOAN000606,Property,34256,0.92
LOAN000848,Property,43926,0.68
LOAN000494,Property,6087,0.77
LOAN000056,Property,18712,1.13
LOAN000949,Property,16303,0.4
LOAN000402,Vehicle,24756,0.36
LOAN000066,Property,49539,1.07
LOAN000045,Vehicle,10769,1.0
LOAN000605,None,6588,0.54
LOAN000649,None,35613,0.59
LOAN000368,Vehicle,42544,0.58
LOAN000604,Property,27581,0.88
LOAN000231,None,11043,0.36
LOAN000401,Vehicle,3505,0.74
LOAN000907,Property,37703,0.42
LOAN000560,Vehicle,16720,1.04
LOAN000022,Property,43955,0.64
LOAN000573,None,33196,0.77
LOAN000266,Property,14647,0.33
LOAN000840,Property,46881,0.35
LOAN000117,None,48484,0.91
LOAN000951,Property,39896,0.99
LOAN000599,Property,576,0.94
LOAN000600,Property,39020,0.96
LOAN000054,Property,19446,0.39
LOAN000152,None,18456,0.92
LOAN000238,None,23971,0.46
LOAN000264,Property,48262,0.39
LOAN000267,Property,39238,0.98
LOAN000906,Vehicle,41220,1.1
LOAN000112,None,29637,0.95
LOAN000165,Property,24940,1.03
LOAN000667,Property,12362,1.19
LOAN000007,Vehicle,36379,0.42
LOAN000713,None,3237,1.17
LOAN000216,Vehicle,42812,0.84
LOAN000430,Vehicle,22288,1.03
LOAN000291,Property,26022,0.89
LOAN000892,Property,5149,0.81
LOAN000049,Vehicle,4368,0.93
LOAN000106,Property,8324,0.59
LOAN000008,Vehicle,8299,1.13
LOAN000744,Vehicle,20370,0.4
LOAN000699,Vehicle,45647,0.59
LOAN000455,None,17886,0.33
LOAN000322,Vehicle,9114,0.54
LOAN000308,Vehicle,25647,0.5
LOAN000849,Property,11601,0.34
LOAN000621,Property,41174,0.74
LOAN000994,Property,38627,0.72
LOAN000144,None,21414,0.37
LOAN000739,None,10115,0.54
LOAN000820,Vehicle,23553,1.16
LOAN000411,Property,35021,0.4
LOAN000113,Property,13981,0.57
LOAN000574,Vehicle,47398,0.33
LOAN000398,Vehicle,44382,0.43
LOAN000274,Property,10995,0.93
LOAN000123,Vehicle,26782,0.63
LOAN000085,None,646,0.71
LOAN000581,Property,40775,0.44
LOAN000046,Vehicle,49968,0.91
LOAN000710,Vehicle,16477,0.98
LOAN000875,None,42065,0.46
LOAN000943,Vehicle,42034,0.34
LOAN000200,Property,34445,0.37
LOAN000275,Property,44786,0.89
LOAN000548,None,36690,0.42
LOAN000714,Property,3094,0.74
LOAN000129,Vehicle,11574,0.44
LOAN000447,Vehicle,27931,0.45
LOAN000981,Property,17648,0.3
LOAN000803,None,23161,0.59
LOAN000388,Vehicle,28071,0.38
LOAN000575,Property,44660,0.65
LOAN000262,Vehicle,935,0.84
LOAN000965,None,36619,0.63
LOAN000631,Property,44437,0.93
LOAN000277,Vehicle,17018,0.97
LOAN000713,Vehicle,28990,0.93
LOAN000045,Vehicle,21502,1.14
LOAN000167,Property,42263,0.51
LOAN000444,Property,2866,0.47
LOAN000621,Vehicle,12867,0.85
LOAN000045,None,11954,0.84
LOAN000723,Property,10168,0.76
LOAN000539,Property,3915,0.3
LOAN000086,Vehicle,32273,0.8
LOAN000802,Vehicle,10732,1.14
LOAN000384,Property,29539,0.6
LOAN000668,Property,26068,1.17
LOAN000264,Property,37959,0.62
LOAN000776,None,8169,0.43
LOAN000021,Property,24713,0.66
LOAN000767,Vehicle,18780,0.75
LOAN000702,None,19949,0.87
LOAN000449,Property,36016,0.75
LOAN000975,Vehicle,23576,0.78
LOAN000231,Vehicle,3161,0.32
LOAN000185,Property,23833,0.53
LOAN000325,None,23259,0.58
LOAN000182,Vehicle,48441,1.19
LOAN000396,Vehicle,44867,0.57
LOAN000480,Property,39375,1.11
LOAN000402,None,13198,0.57
LOAN000462,Vehicle,31464,0.39
LOAN000416,None,31908,0.52
LOAN000201,Vehicle,23385,0.55
LOAN000064,Vehicle,13809,1.18
LOAN000955,Vehicle,35929,0.91
LOAN000907,Vehicle,15633,1.14
LOAN000554,Vehicle,8710,1.05
LOAN000732,None,36626,0.82
LOAN000016,Vehicle,33543,0.91
LOAN000835,Vehicle,4578,0.86
LOAN000796,Vehicle,11637,0.9
LOAN000182,Property,29850,0.54
LOAN000390,None,5198,0.67
LOAN000043,Vehicle,33632,0.83
LOAN000972,Property,10665,0.33
LOAN000900,Vehicle,1294,0.73
LOAN000699,Property,14146,1.07
LOAN000901,Vehicle,23679,0.74
LOAN000481,Property,6370,0.8
LOAN000262,Property,33857,0.48
LOAN000173,Property,31236,1.01
LOAN000440,Vehicle,37581,0.62
LOAN000565,Vehicle,16711,1.16
LOAN000219,Property,21629,1.19
LOAN000557,Property,7877,1.12
LOAN000393,Vehicle,9361,0.38
LOAN000771,None,18321,0.6
LOAN000194,Property,13452,1.15
LOAN000408,Vehicle,9547,1.02
LOAN000470,Vehicle,27453,1.12
LOAN000346,None,37301,0.82
LOAN000461,Vehicle,18777,0.73
LOAN000060,None,24403,0.4
LOAN000165,Property,18726,1.06
LOAN000671,Vehicle,23128,0.97
LOAN000150,Property,17210,0.35
LOAN000110,Vehicle,28302,0.49
LOAN000487,Vehicle,19284,0.8
LOAN000548,Vehicle,4778,0.92
LOAN000002,None,29177,0.42
LOAN000482,Property,8000,0.52
LOAN000012,Vehicle,4515,0.47
LOAN000161,Vehicle,22336,0.5
LOAN000343,Property,41510,1.13
LOAN000448,Vehicle,8326,0.94
LOAN000331,Vehicle,9701,0.96
LOAN000263,Vehicle,29548,1.01
LOAN000082,Property,20441,0.62
LOAN000776,Vehicle,15605,0.99
LOAN000923,Property,653,1.18
LOAN000333,Property,42041,0.93
LOAN000379,None,5386,0.68
LOAN000218,Property,24450,0.94
LOAN000657,Property,2767,1.11
LOAN000809,Property,21142,0.42
LOAN000808,None,1470,0.54
LOAN000453,Property,42107,1.13
LOAN000672,Property,31788,1.15
LOAN000740,Vehicle,47081,0.74
LOAN000745,None,17829,0.64
LOAN000088,Vehicle,14950,0.55
LOAN000332,Vehicle,6118,0.75
LOAN000309,Property,34763,1.14
LOAN000726,None,2547,0.43
LOAN000419,Property,9864,0.68
LOAN000608,Property,29294,1.12
LOAN000724,None,13591,0.61
LOAN000353,Property,3386,0.99
LOAN000823,Property,22072,0.65
LOAN000099,Property,15661,1.02
LOAN000144,None,4658,1.18
LOAN000009,Property,28163,0.65
LOAN000982,None,20345,1.06
LOAN000043,Vehicle,7233,1.19
LOAN000762,Vehicle,34925,1.19
LOAN000385,Vehicle,38311,0.69
LOAN000738,Property,32501,0.74
LOAN000909,None,39628,0.57
LOAN000760,Vehicle,9829,0.58
LOAN000494,Vehicle,25312,0.74
LOAN000492,Vehicle,27599,0.48
LOAN000168,Property,4543,0.94
LOAN000641,Vehicle,14742,0.78
LOAN000530,Vehicle,33865,1.11
LOAN000335,None,26778,1.03
LOAN000746,Vehicle,27633,0.59
LOAN000856,Property,25240,0.76
LOAN000512,Property,35592,0.98
LOAN000129,Property,31476,0.47
LOAN000538,Vehicle,40567,0.33
LOAN000513,None,11731,1.07
LOAN000249,Property,1069,0.42
LOAN000733,Vehicle,3828,1.1
LOAN000946,Vehicle,49792,1.12
LOAN000137,Vehicle,25761,0.71
LOAN000274,Property,25762,1.03
LOAN000463,Property,3780,0.63
LOAN000140,Vehicle,19647,1.07
LOAN000943,Vehicle,32242,1.04
LOAN000255,None,4090,0.37
LOAN000881,None,22506,0.82
LOAN000823,Property,14070,0.88
LOAN000455,Property,35493,0.3
LOAN000951,None,30093,1.18
LOAN000433,Property,48146,0.67
LOAN000606,Property,24407,0.77
LOAN000172,Vehicle,10033,0.48
LOAN000472,Property,43149,0.85
LOAN000954,Vehicle,17247,1.03
LOAN000422,Vehicle,13866,0.83
LOAN000916,None,48783,1.01
LOAN000438,Property,11332,0.96
LOAN000056,None,28825,0.51
LOAN000497,Property,35298,0.69
LOAN000613,None,39953,0.43
LOAN000168,Vehicle,23349,0.34
LOAN000988,Property,6657,0.36
LOAN000581,Vehicle,46936,1.15
LOAN000849,Vehicle,30678,1.19
LOAN000560,Vehicle,17501,0.39
LOAN000427,Property,29530,0.6
LOAN000418,Vehicle,693,0.4
LOAN000346,Property,8664,1.05
LOAN000516,Vehicle,21342,0.75
LOAN000454,Vehicle,1619,0.86
LOAN000713,Property,13851,0.79
LOAN000201,None,7040,0.94
LOAN000178,Vehicle,45662,0.59
LOAN000056,Property,32260,0.42
LOAN000697,None,27028,0.32
LOAN000603,Property,24038,0.7
LOAN000803,Property,32742,1.12
LOAN000905,Vehicle,48128,0.57
LOAN000945,Property,26858,0.48
LOAN000994,Vehicle,39113,1.13
LOAN000500,Property,41239,0.39
LOAN000738,None,30238,0.35
LOAN000932,Property,47421,1.09
LOAN000111,Vehicle,24081,0.93
LOAN000147,None,30636,0.68
LOAN000780,Property,21985,0.98
LOAN000714,None,27665,0.97
LOAN000377,Property,36794,0.34
LOAN000876,Vehicle,2134,0.91
LOAN000914,Property,44469,0.88
LOAN000347,Property,593,1.17
LOAN000357,Vehicle,28870,1.17
LOAN000055,Property,20250,0.64
LOAN000812,Property,40984,0.83
LOAN000315,Property,47599,0.43
LOAN000963,Vehicle,16972,0.36
LOAN000184,Property,47509,0.69
LOAN000053,Vehicle,19434,0.92
LOAN000036,Property,44274,0.81
LOAN000722,Vehicle,23021,0.69
